flex1,flex2,flex3,flex4,flex5,accx,accy,accz,gyrx,gyry,gyrz,label
219,292,284,296,220,-3.95,8.12,3.8,-0.06,0.0,-0.01,1
219,291,285,296,221,-3.69,8.18,3.81,-0.07,0.01,-0.01,1
219,291,284,296,221,-3.62,8.24,3.9,-0.09,0.01,-0.02,1
219,291,285,297,221,-3.96,8.12,3.99,-0.09,0.01,-0.02,1
219,291,284,297,221,-3.78,8.16,4.1,-0.05,0.03,0.0,1
219,291,284,296,221,-3.6,8.23,4.0,-0.05,0.02,-0.01,1
219,291,284,296,221,-3.96,8.08,3.97,-0.03,0.03,-0.01,1
219,291,284,296,221,-3.86,8.16,4.0,-0.02,0.03,-0.02,1
219,292,284,297,221,-3.61,8.2,3.89,-0.04,0.02,-0.02,1
219,292,285,297,221,-4.05,8.13,3.87,-0.04,0.05,-0.01,1
219,291,284,296,221,-3.8,8.16,3.76,-0.06,0.03,-0.0,1
219,291,284,296,221,-3.68,8.25,3.91,-0.07,0.01,-0.01,1
219,291,285,297,221,-3.88,8.15,3.88,-0.09,0.03,-0.01,1
219,292,284,297,221,-3.84,8.13,3.9,-0.07,0.01,-0.01,1
219,291,284,296,221,-3.66,8.18,4.03,-0.06,0.02,-0.01,1
219,292,284,296,221,-3.91,8.06,3.95,-0.06,0.02,-0.01,1
219,291,284,296,221,-3.73,8.13,3.87,-0.02,0.02,-0.01,1
219,292,284,297,221,-3.57,8.25,3.92,-0.0,0.01,-0.01,1
219,292,284,297,221,-3.88,8.16,3.83,-0.04,0.03,-0.02,1
219,291,285,297,221,-3.84,8.18,3.77,-0.04,0.02,-0.02,1
219,291,284,296,221,-3.72,8.23,3.86,-0.06,0.04,-0.01,1
219,291,284,296,221,-3.82,8.17,3.87,-0.06,0.01,-0.01,1
219,292,284,297,221,-3.89,8.11,3.93,-0.06,0.02,-0.01,1
219,292,284,297,221,-3.63,8.26,3.97,-0.05,0.03,-0.0,1
219,291,284,296,221,-3.89,8.16,3.92,-0.05,0.01,-0.01,1
219,292,284,297,221,-3.84,8.13,3.9,-0.05,0.01,-0.02,1
219,292,284,297,221,-3.71,8.18,3.89,-0.06,0.02,-0.02,1
219,292,285,297,221,-3.9,8.15,3.97,-0.05,0.02,-0.02,1
219,292,284,297,221,-3.89,8.14,3.86,-0.03,0.01,-0.01,1
219,292,284,296,220,-3.58,8.28,3.86,-0.05,0.02,-0.01,1
219,291,284,296,221,-3.89,8.18,3.88,-0.06,0.01,-0.02,1
219,292,284,298,221,-3.97,8.12,3.92,-0.05,0.01,-0.02,1
219,292,284,297,221,-3.69,8.18,3.92,-0.05,0.01,-0.02,1
219,291,284,298,221,-3.89,8.18,3.94,-0.04,0.02,-0.01,1
219,291,284,296,221,-3.93,8.11,3.87,-0.05,0.03,-0.0,1
219,291,284,296,221,-3.62,8.26,3.84,-0.04,0.02,-0.0,1
219,292,284,297,221,-3.73,8.23,3.88,-0.05,0.03,-0.0,1
219,292,284,297,221,-3.98,8.1,3.95,-0.06,0.03,-0.01,1
219,292,285,296,221,-3.69,8.19,3.95,-0.04,0.02,-0.01,1
218,291,284,297,220,-3.8,8.19,3.86,-0.05,0.03,-0.01,1
219,291,284,296,221,-3.89,8.13,3.83,-0.04,0.03,-0.01,1
219,292,284,297,221,-3.71,8.19,3.88,-0.03,0.02,-0.01,1
219,292,284,297,221,-3.82,8.19,3.85,-0.03,0.01,-0.02,1
219,291,285,296,221,-3.96,8.11,3.83,-0.03,-0.02,-0.02,1
219,291,284,297,221,-3.79,8.21,3.88,-0.02,0.03,-0.01,1
219,292,284,296,221,-3.77,8.24,3.86,-0.03,0.01,-0.01,1
219,292,284,297,221,-3.96,8.15,3.75,-0.06,0.01,-0.0,1
219,291,284,297,221,-3.75,8.21,3.9,-0.05,0.03,0.0,1
219,292,284,296,221,-3.65,8.26,3.86,-0.06,0.0,-0.02,1
219,291,284,296,221,-3.99,8.12,3.88,-0.05,0.03,-0.02,1
219,291,284,297,221,-3.83,8.14,3.89,-0.05,0.01,-0.02,1
219,292,284,298,221,-3.64,8.23,3.92,-0.04,0.01,-0.02,1
219,292,284,297,221,-3.98,8.14,3.87,-0.04,0.03,-0.01,1
219,292,284,295,221,-3.73,8.23,3.82,-0.04,0.02,-0.01,1
219,291,284,297,220,-3.74,8.25,3.76,-0.04,0.02,-0.01,1
219,291,284,297,221,-3.91,8.2,3.81,-0.05,0.02,-0.02,1
219,292,284,298,221,-3.86,8.13,3.91,-0.06,0.03,-0.02,1
219,292,284,297,221,-3.68,8.24,3.88,-0.05,0.01,-0.0,1
219,291,284,296,221,-4.01,8.13,3.87,-0.04,0.04,-0.01,1
219,292,284,296,221,-3.67,8.23,3.79,-0.04,0.01,-0.01,1
219,292,284,297,221,-3.57,8.29,3.73,-0.04,0.01,-0.02,1
219,292,284,297,221,-3.96,8.21,3.82,-0.05,0.02,-0.02,1
219,291,284,296,221,-3.9,8.14,3.81,-0.04,0.0,-0.01,1
219,291,284,296,220,-3.7,8.22,3.87,-0.05,0.02,-0.0,1
219,292,284,296,221,-3.84,8.22,3.8,-0.06,0.03,-0.0,1
219,292,284,297,220,-3.84,8.22,3.77,-0.05,0.01,0.0,1
219,292,285,297,221,-3.57,8.3,3.77,-0.06,0.01,-0.02,1
219,292,285,297,221,-3.97,8.15,3.9,-0.06,0.01,-0.02,1
219,291,284,296,221,-3.82,8.1,3.93,-0.05,0.01,-0.01,1
219,292,284,297,221,-3.7,8.17,3.96,-0.04,0.02,-0.0,1
219,292,284,297,221,-3.83,8.22,3.89,-0.02,0.03,0.0,1
219,292,284,297,221,-3.93,8.18,3.83,-0.03,0.03,0.0,1
219,291,283,295,221,-3.57,8.27,3.74,-0.06,0.02,-0.01,1
219,291,284,297,221,-3.92,8.21,3.82,-0.06,0.02,-0.02,1
219,292,284,298,221,-3.99,8.13,3.82,-0.06,0.01,-0.02,1
219,292,284,297,221,-3.68,8.22,3.92,-0.04,0.02,-0.01,1
219,291,284,297,221,-3.8,8.25,3.72,-0.03,0.01,-0.0,1
219,291,284,297,220,-3.79,8.28,3.75,-0.02,-0.0,-0.0,1
219,291,284,296,220,-3.68,8.25,3.67,-0.06,0.01,-0.02,1
219,292,284,297,221,-3.68,8.29,3.73,-0.06,-0.01,-0.02,1
218,292,284,297,221,-3.97,8.11,3.96,-0.07,0.02,-0.03,1
218,292,284,297,221,-3.76,8.14,3.94,-0.08,0.03,-0.03,1
219,291,284,296,220,-3.92,8.14,3.92,-0.05,0.02,-0.02,1
219,291,284,296,221,-4.0,8.15,3.81,-0.04,0.01,-0.02,1
219,292,284,297,221,-3.74,8.25,3.78,-0.05,0.02,-0.01,1
219,292,284,297,221,-3.72,8.27,3.67,-0.06,0.01,-0.01,1
219,291,284,297,221,-3.96,8.21,3.72,-0.07,0.01,-0.01,1
219,291,284,296,221,-3.7,8.2,3.85,-0.09,0.01,-0.01,1
219,292,284,296,220,-3.67,8.24,3.91,-0.07,0.02,-0.01,1
219,292,284,298,221,-3.94,8.13,3.91,-0.08,0.03,-0.01,1
219,292,284,296,221,-3.72,8.18,3.87,-0.05,0.01,-0.01,1
219,292,284,296,221,-3.72,8.25,3.85,-0.05,0.04,-0.01,1
219,291,284,296,221,-3.89,8.17,3.76,-0.05,0.0,-0.01,1
219,291,284,297,221,-3.81,8.2,3.8,-0.05,0.0,-0.02,1
219,292,284,297,221,-3.69,8.24,3.89,-0.06,0.01,-0.02,1
219,292,284,297,221,-4.01,8.15,3.83,-0.05,0.01,-0.02,1
219,292,284,297,221,-3.8,8.16,3.87,-0.05,0.02,-0.0,1
219,291,284,296,221,-3.61,8.22,3.84,-0.04,0.01,-0.0,1
219,292,284,297,221,-3.86,8.17,3.89,-0.05,0.01,-0.01,1
219,292,284,297,221,-3.83,8.18,3.89,-0.05,0.02,-0.01,1
219,292,284,296,221,-3.59,8.27,3.79,-0.05,0.0,-0.02,1
219,291,284,296,221,-3.99,8.16,3.84,-0.05,0.02,-0.01,1
219,292,284,296,221,-3.89,8.21,3.85,-0.05,0.01,-0.01,1
219,292,284,297,221,-3.6,8.23,3.78,-0.08,0.02,-0.01,1
219,292,284,297,221,-3.84,8.19,3.94,-0.05,0.01,-0.02,1
