flex1,flex2,flex3,flex4,flex5,accx,accy,accz,gyrx,gyry,gyrz,label
204,291,283,293,218,-4.03,7.88,4.23,-0.01,0.04,-0.01,2
204,292,283,294,218,-3.75,8.01,3.97,0.0,-0.0,-0.03,2
204,291,283,293,218,-4.38,7.76,4.17,-0.07,0.07,-0.01,2
204,291,283,293,218,-3.64,8.17,4.26,-0.03,-0.05,-0.01,2
204,291,283,293,217,-4.36,7.75,4.29,-0.1,0.11,-0.03,2
204,291,283,293,217,-3.95,8.04,4.14,-0.02,-0.06,-0.02,2
204,291,283,294,218,-4.32,7.72,4.26,-0.1,0.13,0.0,2
204,292,283,294,218,-3.81,8.03,4.14,-0.05,-0.05,0.02,2
204,292,283,294,218,-4.24,7.77,4.13,-0.12,0.11,-0.03,2
204,291,282,293,217,-3.95,7.88,4.2,-0.06,-0.03,0.02,2
204,291,283,294,218,-4.01,7.91,4.42,-0.07,0.05,0.01,2
204,292,283,293,218,-4.07,7.85,4.16,-0.07,0.03,0.02,2
204,291,283,294,218,-3.8,7.93,4.36,-0.06,0.07,0.02,2
204,291,283,294,218,-3.93,8.04,4.07,-0.05,0.02,-0.02,2
204,291,283,293,218,-4.06,7.9,3.99,-0.09,0.05,-0.02,2
204,291,283,294,218,-3.94,7.94,4.28,-0.05,-0.01,-0.02,2
204,292,283,293,218,-4.14,7.84,4.2,-0.1,0.01,-0.05,2
204,292,283,293,218,-4.27,7.7,4.28,-0.09,-0.01,-0.01,2
204,291,283,293,218,-3.85,7.88,4.42,-0.08,0.01,-0.01,2
203,290,283,293,217,-4.04,7.79,4.35,-0.1,0.04,-0.0,2
204,291,283,294,217,-4.04,7.82,4.38,-0.05,-0.01,0.0,2
204,291,283,294,218,-3.84,7.87,4.37,-0.06,0.04,-0.01,2
204,291,283,294,218,-4.04,7.86,4.38,-0.05,0.0,-0.01,2
204,291,283,293,217,-4.04,7.86,4.33,-0.04,0.03,-0.03,2
204,291,283,293,217,-3.9,7.82,4.31,-0.04,0.03,-0.02,2
204,292,283,294,218,-3.94,7.95,4.34,-0.01,0.01,-0.01,2
204,292,283,294,218,-4.12,7.83,4.22,-0.03,0.03,-0.03,2
204,291,283,293,217,-4.01,7.83,4.15,-0.05,0.04,-0.01,2
203,291,283,292,217,-4.12,7.89,4.18,-0.05,0.0,-0.03,2
204,291,283,292,217,-4.22,7.82,4.31,-0.07,-0.0,-0.01,2
204,291,283,293,217,-3.85,7.88,4.41,-0.06,0.01,-0.01,2
204,291,283,294,218,-4.02,7.87,4.41,-0.05,0.03,-0.01,2
204,291,283,293,217,-3.94,7.91,4.3,-0.02,0.01,-0.02,2
204,291,283,293,218,-3.78,7.95,4.2,-0.04,0.01,-0.02,2
204,291,283,293,217,-4.08,7.89,4.21,-0.04,0.02,-0.04,2
204,291,282,293,218,-4.21,7.73,4.23,-0.07,0.04,-0.03,2
204,292,283,293,218,-3.9,7.92,4.27,-0.06,-0.01,-0.02,2
204,291,283,293,218,-4.15,7.85,4.29,-0.05,0.03,-0.01,2
203,290,283,293,218,-4.12,7.79,4.32,-0.06,0.03,0.0,2
204,291,283,294,218,-3.81,7.96,4.23,-0.05,0.01,-0.02,2
204,292,283,294,218,-4.22,7.77,4.23,-0.08,0.01,-0.01,2
204,291,283,293,218,-4.01,7.89,4.35,-0.07,-0.02,-0.02,2
204,290,283,293,218,-3.97,7.88,4.33,-0.09,0.05,-0.03,2
204,291,283,293,218,-4.28,7.67,4.28,-0.1,0.06,-0.02,2
204,291,283,293,218,-3.95,7.9,4.38,-0.02,-0.02,-0.0,2
204,291,283,293,218,-4.06,7.85,4.23,-0.06,0.05,-0.03,2
204,291,282,293,217,-4.1,7.86,4.16,-0.04,-0.02,-0.02,2
203,291,283,293,217,-3.94,7.87,4.29,-0.08,0.03,-0.04,2
204,291,283,293,217,-4.07,7.79,4.29,-0.09,0.02,-0.04,2
204,291,283,294,217,-4.15,7.84,4.3,-0.05,-0.02,-0.02,2
204,291,283,293,218,-4.16,7.74,4.4,-0.08,0.04,-0.0,2
203,291,283,294,218,-4.0,7.88,4.26,-0.07,-0.01,0.01,2
204,290,283,293,217,-4.28,7.77,4.28,-0.04,0.0,-0.0,2
204,291,283,293,218,-3.96,7.82,4.3,-0.08,-0.01,-0.01,2
204,292,283,294,218,-3.97,7.86,4.33,-0.07,-0.02,-0.05,2
204,291,283,293,218,-4.24,7.71,4.41,-0.07,-0.01,-0.03,2
204,291,283,293,217,-3.8,7.81,4.55,-0.06,-0.01,-0.02,2
204,291,283,293,218,-4.04,7.71,4.54,-0.06,0.03,-0.01,2
204,292,283,293,218,-4.12,7.8,4.45,-0.02,0.0,-0.02,2
204,292,283,294,218,-4.03,7.77,4.4,-0.03,0.05,-0.02,2
204,292,283,294,217,-3.97,7.88,4.27,-0.01,0.02,-0.01,2
203,291,283,293,217,-4.17,7.8,4.17,-0.03,0.04,-0.03,2
204,291,283,293,218,-4.07,7.82,4.17,-0.03,0.01,-0.02,2
204,292,282,294,218,-4.05,7.89,4.21,-0.05,0.01,-0.01,2
204,292,283,294,218,-4.24,7.66,4.32,-0.08,0.04,-0.01,2
204,292,283,294,218,-3.94,7.79,4.39,-0.06,0.04,0.01,2
203,291,283,294,217,-4.04,7.83,4.4,-0.03,0.02,-0.02,2
203,292,283,294,218,-4.3,7.68,4.4,-0.05,0.04,-0.02,2
204,291,283,294,218,-3.85,7.91,4.23,-0.02,0.0,-0.03,2
204,292,283,294,218,-4.18,7.87,4.25,-0.03,0.04,-0.02,2
203,291,282,293,217,-4.22,7.74,4.23,-0.06,0.03,-0.0,2
204,291,283,293,217,-3.94,7.89,4.22,-0.05,0.0,-0.01,2
204,291,283,293,217,-4.27,7.79,4.29,-0.08,0.04,0.0,2
203,292,283,294,218,-4.13,7.76,4.3,-0.06,0.0,-0.01,2
204,291,282,294,218,-3.84,7.93,4.53,-0.03,0.02,-0.01,2
203,291,283,293,217,-4.19,7.81,4.32,-0.05,0.03,-0.01,2
203,291,283,293,217,-4.11,7.78,4.29,-0.04,0.04,-0.01,2
204,291,283,293,217,-3.79,8.01,4.35,0.01,-0.01,-0.02,2
204,292,283,294,218,-4.28,7.79,4.13,-0.05,0.04,-0.03,2
204,291,283,294,218,-4.07,7.79,4.32,-0.05,0.01,-0.02,2
203,291,283,293,218,-4.06,7.85,4.31,-0.05,0.03,-0.01,2
204,291,283,293,218,-4.31,7.7,4.28,-0.05,0.04,-0.0,2
204,292,283,293,218,-3.95,7.9,4.38,-0.03,0.02,-0.0,2
203,292,283,294,218,-3.96,7.9,4.23,-0.04,0.03,-0.03,2
203,291,283,294,218,-4.32,7.74,4.25,-0.03,0.01,-0.03,2
204,291,283,293,218,-4.08,7.78,4.14,-0.05,0.01,-0.03,2
204,291,282,294,218,-4.0,7.91,4.25,-0.05,0.02,-0.02,2
204,292,283,294,218,-4.35,7.77,4.2,-0.04,0.02,-0.0,2
204,292,283,294,218,-3.94,7.86,4.2,-0.06,0.04,0.01,2
204,291,283,294,218,-3.99,7.97,4.21,-0.06,-0.0,-0.01,2
203,291,283,292,218,-4.2,7.84,4.22,-0.07,0.04,-0.02,2
204,291,283,293,218,-4.06,7.77,4.34,-0.08,0.04,-0.02,2
203,292,283,294,218,-4.06,7.82,4.36,-0.05,0.0,-0.03,2
204,291,283,294,218,-4.29,7.73,4.32,-0.04,0.04,-0.02,2
203,291,283,293,218,-3.92,7.86,4.26,-0.05,0.04,-0.02,2
203,290,282,293,218,-4.1,7.84,4.3,-0.05,0.05,-0.02,2
203,292,283,294,218,-4.24,7.88,4.1,-0.02,0.01,-0.01,2
204,291,283,294,218,-4.12,7.83,4.07,-0.07,0.06,-0.01,2
203,291,283,294,217,-4.26,7.83,4.14,-0.07,-0.01,0.0,2
203,291,283,293,218,-4.21,7.77,4.29,-0.09,0.03,0.01,2
203,291,283,292,218,-4.01,7.82,4.37,-0.09,0.01,0.02,2
204,292,283,294,218,-4.14,7.77,4.38,-0.08,0.04,0.01,2
204,292,283,294,217,-3.99,7.84,4.39,-0.04,0.01,-0.0,2
204,291,283,293,218,-3.96,7.86,4.38,-0.05,0.07,-0.02,2
203,291,283,293,217,-4.23,7.88,4.21,-0.01,0.02,-0.02,2
204,292,283,294,218,-4.19,7.86,4.14,-0.02,0.04,-0.03,2
204,291,283,293,218,-4.0,7.9,4.1,-0.03,0.03,-0.04,2
204,291,283,293,217,-4.42,7.74,4.19,-0.05,0.02,-0.02,2
203,291,283,293,218,-4.2,7.79,4.15,-0.05,-0.0,-0.0,2
203,291,283,294,217,-4.12,7.78,4.19,-0.05,-0.01,-0.0,2
204,291,283,293,218,-4.21,7.82,4.2,-0.07,-0.01,0.01,2
204,291,283,294,218,-4.21,7.79,4.25,-0.08,0.05,-0.02,2
204,291,283,293,218,-3.87,7.96,4.24,-0.05,-0.03,-0.01,2
203,291,283,293,217,-4.33,7.76,4.3,-0.06,0.03,-0.01,2
204,291,283,293,218,-4.07,7.84,4.2,-0.05,-0.0,-0.02,2
204,292,283,292,218,-3.98,7.88,4.26,-0.05,0.06,-0.0,2
203,291,283,294,218,-4.25,7.84,4.23,-0.04,-0.01,-0.01,2
204,291,283,293,218,-4.16,7.79,4.22,-0.08,0.04,-0.03,2
204,291,283,293,217,-4.14,7.83,4.34,-0.07,0.0,-0.01,2
204,291,283,293,218,-4.29,7.77,4.28,-0.06,0.01,-0.01,2
204,291,283,294,218,-4.12,7.76,4.3,-0.06,0.01,0.0,2
204,292,283,293,218,-3.98,7.84,4.35,-0.05,0.04,0.0,2
203,291,283,294,218,-4.18,7.86,4.29,-0.03,0.0,-0.02,2
204,291,283,294,218,-3.99,7.83,4.11,-0.06,0.03,-0.04,2
204,292,283,293,218,-4.0,7.89,4.21,-0.05,0.01,-0.03,2
204,291,283,294,218,-4.38,7.76,4.23,-0.05,0.02,-0.02,2
204,292,283,293,217,-4.07,7.81,4.29,-0.05,0.01,-0.01,2
203,290,283,293,217,-4.05,7.86,4.28,-0.05,0.04,0.0,2
204,291,283,294,218,-4.28,7.8,4.17,-0.03,-0.01,-0.01,2
