flex1,flex2,flex3,flex4,flex5,accx,accy,accz,gyrx,gyry,gyrz,label
217,293,283,300,211,-2.29,8.42,4.2,-0.03,-0.01,-0.02,6
217,292,283,300,210,-2.08,8.53,4.34,0.01,0.05,-0.01,6
217,292,282,299,211,-2.1,8.57,4.4,0.01,0.08,-0.0,6
217,292,283,299,211,-2.23,8.45,4.1,-0.03,0.01,0.0,6
217,292,283,299,211,-2.23,8.52,4.19,0.03,-0.01,0.01,6
218,293,282,299,210,-1.92,8.61,4.15,-0.03,0.03,0.01,6
217,292,283,299,211,-2.1,8.6,4.1,-0.02,-0.01,0.0,6
217,292,282,298,211,-2.12,8.6,4.11,0.01,-0.04,0.01,6
217,293,282,299,211,-1.98,8.55,4.2,-0.04,0.08,-0.0,6
217,292,283,300,211,-1.86,8.63,4.2,-0.03,0.03,-0.01,6
218,292,282,300,210,-2.23,8.57,4.24,0.01,0.03,-0.02,6
217,292,282,299,211,-2.0,8.54,4.14,-0.01,0.04,-0.03,6
217,292,282,298,210,-1.94,8.64,4.16,-0.01,0.05,-0.03,6
217,293,283,301,211,-2.2,8.68,4.01,0.0,-0.0,-0.03,6
217,293,283,300,211,-2.32,8.53,3.98,-0.03,0.02,-0.01,6
217,293,283,300,210,-1.86,8.68,4.09,-0.02,-0.02,0.0,6
217,292,282,299,211,-1.98,8.68,4.15,-0.02,0.01,-0.0,6
217,292,282,300,211,-2.18,8.58,4.0,-0.01,-0.0,-0.01,6
217,292,282,300,211,-1.99,8.62,4.0,-0.04,0.02,-0.02,6
217,293,283,300,211,-2.06,8.63,4.03,-0.04,0.02,-0.01,6
217,292,282,299,211,-2.17,8.61,4.07,-0.02,0.05,-0.01,6
217,292,282,299,211,-2.18,8.54,4.0,-0.04,0.07,-0.01,6
217,292,282,300,211,-1.79,8.82,3.9,-0.01,-0.04,-0.01,6
218,293,283,301,211,-2.35,8.59,3.99,-0.05,0.08,-0.01,6
218,292,283,300,211,-2.09,8.58,3.98,-0.07,-0.0,-0.02,6
218,292,282,299,211,-1.92,8.66,4.02,-0.06,0.04,-0.01,6
217,291,282,299,211,-2.16,8.61,4.05,-0.06,0.04,-0.01,6
217,292,282,299,210,-2.16,8.62,4.01,-0.06,0.0,-0.0,6
218,293,283,301,211,-1.97,8.63,3.97,-0.07,0.05,0.0,6
217,292,282,299,211,-2.12,8.69,4.11,-0.05,0.02,-0.0,6
217,291,282,299,211,-2.12,8.53,3.94,-0.09,0.03,-0.01,6
218,292,282,299,211,-2.09,8.55,4.02,-0.08,0.06,-0.01,6
217,293,282,300,211,-1.94,8.67,4.07,-0.05,0.01,-0.01,6
217,293,282,300,211,-2.27,8.59,4.0,-0.06,0.02,-0.02,6
217,292,282,300,211,-2.11,8.61,4.12,-0.05,0.02,-0.01,6
217,292,283,299,211,-1.9,8.68,4.1,-0.06,-0.01,-0.01,6
217,292,282,299,211,-2.03,8.69,4.01,-0.05,0.0,-0.01,6
217,292,283,300,211,-2.28,8.58,4.06,-0.04,0.03,-0.03,6
218,293,282,300,211,-2.01,8.62,4.05,-0.06,0.03,-0.01,6
218,292,282,299,211,-2.09,8.69,4.01,-0.04,0.0,-0.01,6
217,292,282,299,211,-2.2,8.58,4.0,-0.04,0.0,-0.0,6
218,292,282,300,211,-2.09,8.62,4.01,-0.04,0.04,-0.01,6
218,293,283,300,211,-1.93,8.72,3.96,-0.06,-0.01,-0.01,6
217,293,282,300,211,-2.23,8.6,4.09,-0.03,-0.01,-0.03,6
217,292,282,299,211,-2.07,8.65,4.12,-0.04,0.04,-0.01,6
217,292,283,299,211,-1.95,8.66,3.97,-0.06,0.04,0.0,6
217,292,282,300,211,-2.02,8.72,3.99,-0.01,0.0,-0.0,6
217,293,283,300,211,-2.11,8.65,3.95,-0.07,0.02,-0.02,6
217,292,282,299,211,-1.91,8.72,4.01,-0.12,-0.02,-0.03,6
217,291,282,299,211,-2.17,8.59,3.99,-0.14,-0.04,-0.04,6
217,292,282,299,211,-2.29,8.48,4.07,-0.12,-0.03,-0.04,6
217,292,283,299,211,-2.06,8.59,4.32,-0.04,0.03,-0.01,6
217,293,282,300,211,-2.03,8.61,4.15,-0.03,0.03,0.01,6
217,292,282,299,211,-2.19,8.56,4.08,-0.01,0.05,0.01,6
217,291,282,298,211,-1.94,8.67,4.01,-0.02,0.03,-0.02,6
217,292,282,299,211,-1.85,8.7,4.01,-0.03,0.02,-0.02,6
218,293,282,299,211,-2.17,8.6,3.98,-0.05,0.03,-0.02,6
218,292,283,300,211,-2.11,8.61,4.06,-0.04,0.02,-0.03,6
217,292,282,299,211,-2.03,8.61,4.07,-0.04,0.04,-0.02,6
217,292,282,299,211,-1.99,8.69,4.11,-0.03,0.01,-0.02,6
217,292,282,299,211,-2.25,8.55,4.1,-0.02,0.04,-0.02,6
217,293,282,299,211,-1.89,8.67,3.97,-0.02,0.02,-0.02,6
217,292,283,300,211,-2.12,8.68,3.97,-0.02,0.07,-0.03,6
217,292,282,299,211,-2.23,8.67,3.86,-0.03,-0.0,-0.03,6
217,291,282,298,211,-2.19,8.56,3.9,-0.04,0.04,-0.02,6
217,292,282,298,211,-1.93,8.74,4.01,-0.03,0.03,-0.01,6
218,292,283,300,211,-2.42,8.56,3.91,-0.05,0.08,0.0,6
217,293,283,299,211,-2.0,8.71,3.8,-0.04,0.01,0.0,6
218,292,282,298,211,-1.94,8.71,3.93,-0.07,0.03,-0.02,6
217,292,282,298,211,-2.08,8.66,3.96,-0.08,0.01,-0.01,6
217,293,283,300,211,-2.35,8.56,4.05,-0.07,0.03,-0.02,6
218,292,283,299,211,-1.86,8.68,4.03,-0.06,0.01,-0.01,6
217,292,282,299,210,-2.16,8.67,4.1,-0.04,0.05,-0.02,6
218,292,283,298,211,-2.27,8.58,3.92,-0.07,0.02,-0.01,6
217,292,282,298,210,-2.11,8.62,3.94,-0.05,0.03,-0.02,6
217,293,283,300,211,-2.16,8.6,3.98,-0.07,0.04,-0.02,6
217,292,282,299,210,-2.31,8.64,4.0,-0.04,-0.02,0.0,6
217,292,283,299,211,-2.23,8.56,3.99,-0.05,0.05,0.0,6
217,291,282,299,211,-1.92,8.74,4.01,-0.04,0.01,-0.01,6
217,292,282,299,211,-2.1,8.68,4.02,-0.04,0.03,-0.01,6
217,293,282,300,211,-2.14,8.62,3.99,-0.03,-0.01,-0.02,6
217,293,283,299,211,-2.03,8.67,3.93,-0.04,0.06,-0.03,6
217,292,282,298,211,-2.06,8.75,3.81,-0.03,-0.01,-0.02,6
217,292,282,298,211,-2.27,8.69,3.82,-0.05,0.03,-0.01,6
218,292,282,299,211,-2.14,8.68,3.9,-0.06,0.03,-0.01,6
217,293,282,300,211,-2.02,8.67,3.98,-0.07,0.03,-0.01,6
217,292,282,299,211,-2.25,8.63,4.01,-0.05,0.02,-0.0,6
217,292,283,299,211,-2.2,8.59,3.94,-0.05,0.05,-0.01,6
217,292,283,300,211,-2.07,8.69,3.86,-0.05,0.01,-0.01,6
217,292,282,300,211,-2.17,8.64,3.84,-0.07,0.02,0.0,6
217,292,282,298,211,-2.29,8.54,4.02,-0.08,0.03,0.0,6
217,292,282,298,211,-1.92,8.64,4.14,-0.04,0.03,0.01,6
217,291,282,299,211,-1.89,8.73,4.11,-0.04,0.01,-0.0,6
217,292,282,298,211,-2.1,8.68,3.99,-0.03,0.04,-0.01,6
217,293,282,301,211,-2.05,8.67,3.89,-0.04,0.03,-0.03,6
217,292,282,299,211,-1.96,8.74,3.85,-0.05,0.04,-0.04,6
217,292,282,299,211,-2.52,8.55,3.97,-0.06,0.09,-0.02,6
217,292,282,297,211,-2.43,8.59,3.96,-0.05,0.04,-0.02,6
217,293,282,299,211,-2.05,8.66,3.92,-0.04,0.03,0.0,6
217,292,282,300,211,-2.13,8.68,3.93,-0.05,0.05,-0.01,6
217,292,283,300,211,-2.36,8.61,3.91,-0.05,0.02,-0.01,6
217,292,282,298,211,-2.05,8.67,3.94,-0.07,0.01,-0.01,6
217,292,282,299,211,-2.01,8.72,3.91,-0.06,-0.0,-0.01,6
217,292,282,299,211,-2.25,8.64,3.94,-0.04,0.01,-0.01,6
217,292,282,299,211,-2.18,8.66,3.87,-0.06,0.02,-0.0,6
217,292,283,299,211,-1.95,8.73,3.92,-0.08,0.01,-0.0,6
217,292,282,298,211,-2.21,8.63,4.07,-0.09,0.05,-0.0,6
217,291,282,298,211,-2.37,8.52,3.97,-0.08,0.05,-0.01,6
217,293,283,299,211,-1.95,8.69,4.01,-0.05,0.0,-0.0,6
217,293,283,299,211,-2.09,8.69,3.98,-0.05,0.04,-0.01,6
217,292,282,298,210,-2.31,8.61,3.98,-0.04,0.0,-0.02,6
217,291,282,298,210,-2.2,8.6,3.95,-0.05,0.0,-0.02,6
217,292,282,299,211,-1.99,8.72,3.95,-0.05,0.0,-0.02,6
217,293,282,299,211,-2.31,8.59,4.0,-0.05,0.03,-0.01,6
217,292,282,299,211,-2.19,8.62,3.93,-0.04,0.02,-0.01,6
217,292,282,299,211,-1.93,8.72,3.93,-0.05,0.03,-0.01,6
217,292,282,298,211,-1.94,8.76,3.89,-0.05,0.02,-0.02,6
217,292,282,298,211,-2.38,8.59,3.98,-0.04,0.04,-0.03,6
217,293,283,300,211,-2.07,8.69,3.86,-0.04,0.0,-0.02,6
217,292,282,299,211,-2.16,8.69,3.89,-0.06,0.04,-0.01,6
217,292,282,298,211,-2.32,8.61,3.92,-0.06,-0.01,-0.01,6
217,292,282,298,211,-2.21,8.59,3.99,-0.06,0.02,-0.01,6
218,292,283,299,211,-2.0,8.65,3.99,-0.07,0.01,-0.01,6
217,292,283,300,211,-2.16,8.65,4.02,-0.05,0.03,-0.01,6
217,293,283,298,211,-2.18,8.66,3.97,-0.03,0.02,-0.01,6
217,292,282,297,211,-1.97,8.68,3.89,-0.05,0.05,-0.02,6
217,292,282,298,211,-2.06,8.75,3.91,-0.04,0.03,-0.02,6
217,292,282,300,211,-2.37,8.6,3.86,-0.06,0.02,-0.01,6
217,293,283,299,211,-2.23,8.61,3.87,-0.06,0.03,-0.01,6
