flex1,flex2,flex3,flex4,flex5,accx,accy,accz,gyrx,gyry,gyrz,label
214,292,297,279,211,-1.79,9.25,2.01,-0.04,0.05,0.0,7
214,292,297,278,211,-1.61,9.43,1.94,-0.02,0.01,0.0,7
214,292,297,278,211,-1.51,9.39,1.8,-0.05,0.01,-0.01,7
214,293,297,279,211,-1.87,9.35,1.76,-0.04,0.06,-0.01,7
214,293,297,279,211,-1.76,9.44,1.77,-0.03,0.02,-0.01,7
214,292,297,279,211,-1.66,9.38,1.81,-0.08,0.04,-0.01,7
214,292,297,279,211,-1.61,9.44,2.07,-0.08,0.03,-0.01,7
214,291,297,279,211,-1.76,9.38,2.07,-0.07,0.0,-0.01,7
214,292,297,279,211,-1.82,9.38,2.11,-0.06,0.04,-0.02,7
214,293,297,279,211,-1.79,9.33,2.08,-0.05,0.03,-0.02,7
214,292,297,279,211,-1.49,9.44,2.03,-0.03,0.02,0.0,7
214,292,297,279,211,-1.68,9.42,1.98,-0.01,0.02,-0.01,7
213,291,297,278,211,-1.83,9.34,1.81,-0.03,0.03,-0.01,7
214,292,297,279,211,-1.74,9.35,1.79,-0.04,0.04,-0.02,7
214,293,297,279,211,-1.51,9.45,1.8,-0.05,-0.01,-0.01,7
214,292,297,279,211,-1.71,9.38,1.92,-0.07,0.02,-0.02,7
214,292,297,278,211,-1.81,9.41,2.02,-0.05,-0.0,-0.0,7
213,291,297,278,211,-1.83,9.32,2.0,-0.07,0.06,-0.01,7
213,292,297,279,211,-1.59,9.4,1.96,-0.05,0.01,0.0,7
214,293,297,279,211,-1.42,9.51,1.96,-0.04,0.03,0.0,7
213,292,297,279,211,-1.73,9.39,1.96,-0.05,0.03,-0.03,7
214,291,297,279,211,-1.75,9.36,1.94,-0.04,0.02,-0.03,7
213,292,297,279,211,-1.69,9.37,1.91,-0.04,0.05,-0.04,7
214,293,297,279,211,-1.55,9.44,1.88,-0.04,0.02,-0.03,7
214,293,297,279,211,-1.68,9.4,1.93,-0.05,0.05,-0.02,7
214,292,296,278,211,-1.81,9.41,1.95,-0.03,0.01,-0.01,7
213,291,297,278,211,-1.61,9.38,1.9,-0.04,0.03,-0.01,7
214,292,297,279,211,-1.61,9.39,1.95,-0.03,0.02,-0.02,7
214,293,297,280,211,-1.55,9.48,1.87,-0.04,0.01,-0.02,7
214,292,297,279,211,-1.89,9.35,1.85,-0.05,0.04,-0.02,7
214,291,297,279,211,-1.76,9.34,1.86,-0.06,0.02,-0.0,7
214,292,297,279,211,-1.45,9.45,1.92,-0.06,0.01,-0.01,7
214,292,297,279,211,-1.49,9.45,1.93,-0.06,0.04,-0.01,7
214,291,297,279,211,-1.66,9.45,1.9,-0.06,0.02,-0.02,7
214,292,297,279,211,-1.87,9.2,1.89,-0.04,0.04,-0.02,7
214,291,296,279,211,-1.59,9.61,2.14,0.03,0.05,-0.01,7
214,291,297,279,211,-1.54,9.34,1.79,-0.04,0.11,-0.04,7
214,292,297,279,211,-1.43,9.33,1.72,-0.04,0.06,-0.04,7
214,292,297,280,211,-1.87,9.39,1.89,0.04,0.07,-0.01,7
215,291,296,280,211,-1.71,9.48,1.71,-0.01,0.09,-0.03,7
214,292,296,279,211,-1.63,9.39,1.83,-0.07,0.11,-0.02,7
214,292,297,279,211,-1.62,9.37,1.81,-0.04,0.03,-0.01,7
215,293,297,280,212,-1.68,9.45,1.84,-0.02,0.03,-0.0,7
214,293,297,280,211,-2.06,9.19,1.81,-0.05,0.11,-0.01,7
214,292,296,279,211,-1.47,9.58,1.77,0.01,0.0,0.02,7
214,291,296,279,211,-1.61,9.41,1.76,-0.04,0.13,-0.03,7
