flex1,flex2,flex3,flex4,flex5,accx,accy,accz,gyrx,gyry,gyrz,label
211,300,289,291,219,-2.88,9.12,1.98,-0.07,0.09,-0.01,9
210,300,290,292,219,-2.54,9.19,1.95,-0.07,0.01,0.01,9
210,299,290,292,219,-2.13,9.3,2.11,-0.09,-0.03,0.01,9
210,299,290,291,219,-2.51,9.17,2.3,-0.12,0.03,-0.0,9
210,299,289,291,219,-2.6,9.05,2.38,-0.1,0.03,-0.01,9
210,299,289,292,219,-2.45,9.04,2.52,-0.03,-0.02,-0.03,9
211,300,290,292,219,-2.31,9.17,2.3,-0.01,0.05,-0.04,9
211,300,290,293,219,-2.37,9.25,2.12,0.02,0.01,-0.04,9
211,299,290,291,219,-2.8,9.15,2.03,0.0,0.04,-0.04,9
210,300,290,292,219,-2.73,9.12,2.01,-0.01,0.02,-0.04,9
210,299,289,292,219,-2.36,9.27,2.01,-0.01,-0.04,-0.02,9
210,300,290,292,219,-2.43,9.29,2.12,-0.02,0.04,-0.01,9
210,299,290,292,219,-2.77,9.12,2.1,-0.02,0.03,-0.01,9
210,299,290,291,219,-2.67,9.15,2.04,-0.03,0.01,-0.01,9
210,299,289,291,219,-2.55,9.16,2.0,-0.03,0.01,-0.03,9
211,300,290,292,219,-2.77,9.14,2.03,-0.06,0.03,-0.01,9
211,300,290,292,219,-2.8,9.2,1.9,-0.06,-0.02,0.04,9
210,300,290,291,219,-2.81,9.14,2.02,-0.08,0.03,0.08,9
210,299,290,291,219,-2.53,9.15,2.03,-0.11,0.04,0.12,9
210,299,289,291,219,-2.18,9.29,2.15,-0.1,0.04,0.12,9
211,300,290,292,219,-2.2,9.26,2.26,-0.1,0.02,0.1,9
210,299,289,292,219,-2.34,9.12,2.36,-0.1,0.06,0.05,9
210,299,290,292,219,-1.92,9.26,2.31,-0.07,0.03,0.01,9
210,299,289,291,219,-2.03,9.26,2.24,-0.06,0.06,-0.0,9
210,300,290,291,219,-2.14,9.27,2.2,-0.04,0.03,-0.04,9
