flex1,flex2,flex3,flex4,flex5,accx,accy,accz,gyrx,gyry,gyrz,label
209,304,288,285,216,0.98,9.7,-0.37,-0.07,-0.01,0.01,14
209,305,288,286,216,0.8,9.64,-0.31,-0.08,0.01,-0.01,14
209,304,288,287,216,0.45,9.63,-0.27,-0.09,0.01,-0.03,14
209,305,289,286,216,0.61,9.64,-0.23,-0.08,0.01,-0.04,14
209,305,289,286,216,0.94,9.81,-0.27,-0.06,0.02,-0.03,14
209,303,288,286,216,0.54,9.67,-0.26,-0.06,0.02,-0.02,14
209,304,288,286,216,0.42,9.73,-0.19,-0.05,0.01,-0.02,14
209,305,288,286,216,0.65,9.65,-0.35,-0.06,0.01,-0.01,14
209,305,288,286,217,0.88,9.79,-0.2,-0.06,0.03,-0.01,14
209,304,289,286,216,0.62,9.78,-0.26,-0.06,0.01,-0.01,14
209,304,289,286,216,0.55,9.66,-0.2,-0.07,0.02,-0.01,14
209,305,288,286,216,0.6,9.69,-0.32,-0.06,0.0,-0.0,14
209,305,289,287,216,0.87,9.68,-0.3,-0.07,0.03,-0.0,14
209,305,288,287,216,0.73,9.7,-0.3,-0.08,0.02,-0.01,14
209,303,288,286,216,0.4,9.63,-0.19,-0.07,0.03,-0.02,14
209,304,288,286,216,0.56,9.71,-0.17,-0.05,0.02,-0.01,14
209,304,289,286,216,0.69,9.7,-0.22,-0.06,0.03,-0.02,14
209,305,288,287,216,0.82,9.77,-0.26,-0.03,0.02,-0.0,14
209,304,288,286,216,0.56,9.63,-0.22,-0.05,0.02,-0.01,14
209,303,288,285,216,0.61,9.6,-0.34,-0.07,0.01,-0.01,14
209,304,288,285,216,0.75,9.71,-0.23,-0.07,0.01,-0.02,14
209,305,289,287,216,0.79,9.79,-0.18,-0.07,0.02,-0.01,14
209,304,288,286,216,0.55,9.61,-0.13,-0.06,0.02,-0.01,14
209,304,288,286,216,0.67,9.68,-0.27,-0.05,0.0,-0.0,14
209,304,288,285,216,0.78,9.69,-0.25,-0.06,0.03,-0.01,14
209,305,288,286,216,0.84,9.78,-0.19,-0.05,0.02,-0.01,14
209,305,289,286,216,0.68,9.61,-0.26,-0.06,0.03,-0.02,14
209,305,289,286,216,0.55,9.62,-0.14,-0.05,0.03,-0.03,14
209,304,288,286,216,0.81,9.7,-0.28,-0.06,0.01,-0.02,14
209,304,288,286,216,0.94,9.83,-0.19,-0.05,0.0,-0.01,14
209,305,288,286,216,0.52,9.73,-0.13,-0.06,0.03,-0.03,14
209,304,288,287,216,0.54,9.75,-0.21,-0.05,0.01,-0.01,14
209,304,288,286,216,0.78,9.7,-0.19,-0.04,0.01,-0.0,14
209,303,288,286,216,0.81,9.66,-0.28,-0.05,0.02,0.0,14
209,304,288,286,216,0.74,9.71,-0.31,-0.05,0.01,-0.0,14
209,305,289,287,216,0.4,9.54,-0.25,-0.06,0.03,-0.02,14
210,304,288,287,216,0.79,9.78,-0.19,-0.06,0.01,-0.01,14
209,303,288,285,216,0.81,9.7,-0.27,-0.06,0.02,-0.01,14
209,304,288,285,216,0.8,9.69,-0.2,-0.06,0.03,-0.02,14
209,304,288,286,216,0.51,9.68,-0.19,-0.07,0.02,-0.03,14
209,304,289,287,216,0.58,9.7,-0.17,-0.07,0.03,-0.03,14
209,305,289,286,217,0.82,9.78,-0.09,-0.03,0.01,-0.0,14
209,304,288,286,216,0.73,9.81,-0.2,-0.04,0.01,-0.0,14
