flex1,flex2,flex3,flex4,flex5,accx,accy,accz,gyrx,gyry,gyrz,label
206,296,298,301,221,-9.9,1.86,-0.67,-0.09,-0.02,-0.03,16
206,296,298,299,221,-9.65,1.88,-0.64,-0.04,-0.04,-0.02,16
206,296,298,300,220,-9.72,1.89,-0.64,-0.01,-0.03,-0.02,16
206,295,298,298,220,-9.64,1.81,-0.69,-0.06,0.0,-0.06,16
206,296,298,301,220,-9.59,1.85,-0.75,-0.02,0.01,-0.03,16
206,296,298,301,221,-9.56,1.93,-0.78,-0.04,0.04,-0.03,16
206,296,298,299,220,-9.6,2.03,-0.73,-0.01,0.04,-0.02,16
206,296,298,300,220,-9.51,2.14,-0.81,0.0,0.01,-0.02,16
206,295,298,299,220,-9.71,1.96,-0.89,-0.08,0.04,-0.06,16
206,296,298,300,220,-9.93,1.93,-0.85,-0.05,0.04,-0.05,16
206,296,298,301,221,-9.83,1.94,-0.89,-0.06,0.02,-0.03,16
206,296,298,300,220,-9.85,1.95,-0.83,-0.05,0.02,-0.02,16
206,295,298,299,220,-9.82,1.9,-0.88,-0.06,0.01,-0.01,16
206,296,298,299,220,-9.77,2.05,-0.85,-0.05,0.01,-0.03,16
206,296,298,299,220,-9.97,1.74,-0.72,-0.06,0.01,-0.04,16
206,296,298,300,220,-10.01,1.89,-0.73,-0.03,0.03,-0.02,16
206,296,298,299,220,-9.91,1.82,-0.83,-0.08,0.02,-0.03,16
206,296,298,299,220,-9.78,1.88,-0.83,-0.04,0.0,-0.02,16
206,296,298,299,220,-9.74,2.01,-0.79,-0.04,0.0,-0.03,16
206,297,298,300,220,-9.67,1.95,-0.76,-0.04,0.01,-0.04,16
206,296,298,299,220,-9.81,1.94,-0.75,-0.04,0.05,-0.03,16
206,295,298,300,221,-9.65,1.94,-0.83,-0.04,0.03,-0.03,16
206,295,298,299,220,-9.56,1.96,-0.93,-0.05,0.01,-0.04,16
206,296,298,299,220,-9.74,1.93,-0.66,-0.05,0.04,-0.02,16
206,296,298,300,220,-9.33,2.04,-0.72,-0.04,0.04,0.0,16
206,296,298,300,220,-9.61,1.98,-0.7,-0.08,0.05,-0.03,16
206,296,298,299,220,-9.71,1.96,-0.66,-0.06,0.03,-0.04,16
206,296,298,299,220,-9.67,1.92,-0.84,-0.05,-0.0,-0.04,16
206,296,298,299,220,-9.92,1.99,-0.73,-0.02,0.05,-0.03,16
206,297,298,300,220,-9.84,1.93,-0.86,-0.05,0.02,-0.03,16
206,296,299,300,221,-9.93,2.03,-0.79,-0.01,0.02,-0.01,16
206,295,298,299,220,-9.92,2.04,-0.85,-0.04,0.01,-0.02,16
206,296,297,299,220,-9.96,1.87,-0.84,-0.06,-0.0,-0.04,16
206,296,298,300,220,-9.91,2.0,-0.74,-0.03,0.03,-0.03,16
206,298,298,301,220,-9.75,1.89,-0.86,-0.06,0.03,-0.03,16
206,296,298,300,220,-9.74,1.96,-0.78,-0.04,0.03,-0.03,16
206,295,298,299,220,-9.75,1.96,-0.75,-0.04,0.01,-0.03,16
206,296,298,299,220,-9.7,1.99,-0.79,-0.04,0.03,-0.04,16
206,296,298,299,220,-9.79,1.83,-0.78,-0.06,0.06,-0.05,16
206,297,298,300,221,-9.62,2.0,-0.86,-0.04,0.03,-0.04,16
206,296,298,299,220,-9.6,1.99,-0.85,-0.04,0.03,-0.03,16
206,296,298,299,220,-9.59,2.05,-0.78,-0.04,0.02,-0.03,16
