flex1,flex2,flex3,flex4,flex5,accx,accy,accz,gyrx,gyry,gyrz,label
212,308,282,280,211,-3.15,9.17,1.05,-0.07,0.03,-0.01,17
212,307,282,280,212,-3.27,9.13,1.14,-0.07,0.03,-0.02,17
211,308,281,279,212,-3.17,9.17,1.23,-0.1,-0.07,-0.02,17
211,306,281,279,211,-2.94,9.25,1.25,-0.11,-0.1,-0.0,17
211,308,281,279,211,-3.22,9.12,1.32,-0.13,-0.01,0.02,17
211,308,281,280,211,-3.29,9.09,1.38,-0.08,-0.1,0.03,17
211,308,282,280,211,-3.1,9.22,1.26,-0.01,-0.41,0.06,17
212,307,282,279,211,-2.84,9.26,1.43,-0.08,-0.36,0.04,17
211,306,281,279,212,-2.67,9.18,1.59,-0.15,-0.2,0.0,17
211,307,281,280,211,-2.83,9.18,1.82,-0.12,-0.11,-0.01,17
211,308,281,280,211,-2.84,9.18,1.81,-0.09,-0.16,-0.01,17
211,308,282,280,212,-2.79,9.24,1.8,-0.04,-0.22,-0.01,17
212,307,282,279,212,-2.88,9.19,1.71,-0.05,-0.09,-0.02,17
211,307,282,279,212,-3.05,9.11,1.7,-0.06,0.1,-0.04,17
212,307,281,279,211,-2.9,9.16,1.62,-0.03,0.02,-0.03,17
211,309,282,280,212,-2.72,9.23,1.56,-0.03,0.01,-0.02,17
211,308,282,280,212,-2.66,9.3,1.58,-0.05,0.03,-0.02,17
211,307,281,279,211,-2.94,9.19,1.59,-0.07,0.06,-0.02,17
211,306,281,279,211,-2.96,9.21,1.51,-0.05,-0.02,-0.01,17
212,309,282,280,212,-2.95,9.16,1.56,-0.08,0.04,-0.02,17
211,308,282,280,212,-2.87,9.18,1.57,-0.1,0.05,-0.03,17
212,307,282,280,212,-2.75,9.22,1.65,-0.09,-0.0,-0.02,17
211,308,282,279,211,-2.71,9.26,1.69,-0.09,0.01,-0.01,17
211,307,282,279,211,-2.97,9.21,1.77,-0.09,0.04,-0.01,17
211,308,281,279,212,-2.94,9.18,1.74,-0.08,-0.01,-0.01,17
211,309,281,280,212,-2.98,9.12,1.77,-0.07,0.02,-0.01,17
211,308,282,279,211,-2.81,9.17,1.73,-0.06,0.01,-0.02,17
211,307,281,279,211,-2.71,9.21,1.74,-0.05,0.03,-0.03,17
211,307,281,278,211,-2.67,9.24,1.72,-0.05,0.01,-0.03,17
211,308,281,279,212,-2.76,9.25,1.7,-0.05,0.0,-0.03,17
211,308,281,279,212,-2.95,9.18,1.67,-0.05,0.02,-0.04,17
211,307,282,280,211,-3.14,9.11,1.71,-0.07,0.02,-0.03,17
211,308,282,280,211,-2.84,9.17,1.68,-0.05,0.0,-0.02,17
211,307,281,279,212,-2.82,9.18,1.72,-0.06,0.06,-0.01,17
211,309,282,280,212,-2.73,9.23,1.68,-0.06,0.04,-0.01,17
212,309,282,280,212,-2.71,9.23,1.69,-0.06,-0.0,-0.02,17
211,307,282,280,212,-2.93,9.19,1.83,-0.06,0.01,-0.02,17
211,307,281,278,211,-3.0,9.15,1.82,-0.05,0.01,-0.02,17
211,309,281,279,211,-2.99,9.1,1.85,-0.05,0.03,-0.02,17
212,309,282,280,211,-2.86,9.16,1.83,-0.03,0.01,-0.02,17
211,308,282,279,211,-2.66,9.21,1.76,-0.02,0.03,-0.02,17
211,309,282,279,211,-2.72,9.24,1.68,-0.03,0.04,-0.02,17
211,307,282,279,212,-2.82,9.24,1.62,-0.02,0.0,-0.02,17
211,307,282,279,212,-3.04,9.13,1.6,-0.05,0.04,-0.03,17
212,309,282,280,212,-3.11,9.1,1.6,-0.06,0.04,-0.02,17
211,308,281,280,211,-2.75,9.18,1.6,-0.05,-0.02,-0.02,17
211,307,281,279,212,-2.71,9.26,1.67,-0.07,0.04,-0.02,17
211,307,281,279,211,-2.67,9.28,1.73,-0.07,0.01,-0.02,17
211,307,281,280,211,-2.76,9.22,1.73,-0.07,0.01,-0.02,17
211,308,282,279,212,-2.89,9.19,1.75,-0.06,0.01,-0.01,17
211,307,282,279,212,-2.96,9.1,1.75,-0.07,0.04,-0.02,17
211,306,282,280,211,-2.77,9.16,1.67,-0.06,0.0,-0.02,17
211,307,282,279,212,-2.7,9.19,1.71,-0.06,0.03,-0.03,17
212,308,282,280,212,-2.74,9.22,1.75,-0.06,0.02,-0.03,17
211,308,282,280,212,-2.8,9.19,1.75,-0.06,0.0,-0.02,17
211,308,281,279,212,-2.95,9.19,1.82,-0.06,0.03,-0.01,17
211,307,281,279,211,-3.04,9.09,1.78,-0.05,0.03,-0.01,17
211,307,281,279,211,-2.82,9.17,1.79,-0.04,0.01,-0.02,17
211,308,281,280,212,-2.71,9.18,1.74,-0.04,0.03,-0.02,17
211,308,281,280,212,-2.6,9.24,1.73,-0.03,0.02,-0.01,17
211,307,282,280,212,-2.66,9.24,1.72,-0.03,0.0,-0.02,17
211,307,281,279,211,-2.81,9.21,1.71,-0.04,0.02,-0.03,17
