flex1,flex2,flex3,flex4,flex5,accx,accy,accz,gyrx,gyry,gyrz,label
205,291,281,278,211,-3.5,7.74,4.79,-0.07,-0.03,0.07,4
204,291,280,278,211,-3.52,7.73,4.89,-0.1,0.08,0.05,4
205,291,281,278,210,-3.8,7.71,4.8,-0.08,0.05,0.04,4
205,292,281,279,211,-3.68,7.69,4.75,-0.09,0.04,0.05,4
205,291,281,279,211,-3.41,7.77,4.73,-0.09,0.01,0.04,4
204,291,281,278,211,-3.44,7.84,4.76,-0.07,-0.03,0.01,4
205,291,281,278,211,-3.6,7.69,4.76,-0.12,0.03,0.0,4
205,292,281,279,211,-3.35,7.74,4.84,-0.14,-0.0,-0.04,4
205,292,281,278,211,-3.69,7.63,5.09,-0.16,0.09,-0.04,4
205,292,281,279,211,-3.89,7.51,5.12,-0.16,0.1,-0.04,4
204,291,281,278,211,-3.82,7.39,5.22,-0.12,0.1,-0.02,4
204,291,281,278,211,-3.53,7.56,5.23,-0.05,0.03,-0.03,4
205,291,281,278,211,-3.92,7.52,5.16,-0.03,0.11,-0.01,4
204,292,281,278,211,-3.75,7.57,4.8,0.02,0.04,-0.01,4
205,291,281,279,211,-3.58,7.67,4.8,0.02,0.05,-0.01,4
205,291,281,278,211,-3.62,7.75,4.78,0.0,0.04,-0.03,4
205,291,281,278,211,-3.87,7.66,4.69,-0.02,0.06,-0.03,4
205,292,281,279,211,-3.78,7.66,4.74,-0.04,0.05,-0.01,4
204,291,281,278,211,-3.68,7.71,4.79,-0.06,0.02,-0.02,4
204,291,280,278,211,-3.85,7.65,4.8,-0.07,0.06,-0.01,4
204,291,281,278,211,-3.84,7.65,4.77,-0.03,-0.03,-0.01,4
205,291,281,278,211,-3.46,7.74,4.82,-0.07,0.03,0.01,4
205,292,281,279,211,-3.78,7.62,4.86,-0.07,0.02,-0.0,4
204,291,281,279,211,-3.84,7.6,4.87,-0.06,0.0,-0.01,4
205,292,281,279,211,-3.68,7.62,4.94,-0.06,0.0,-0.03,4
204,291,281,277,211,-3.64,7.67,4.94,-0.07,0.04,-0.01,4
204,291,281,278,211,-3.96,7.57,4.94,-0.06,0.03,-0.01,4
205,292,281,278,211,-3.71,7.62,4.82,-0.03,0.02,0.01,4
205,291,281,279,211,-3.51,7.67,4.81,-0.04,0.03,0.01,4
204,291,281,279,210,-3.7,7.7,4.81,-0.06,0.04,-0.01,4
205,291,281,278,210,-3.93,7.54,4.88,-0.07,0.02,-0.01,4
205,292,281,278,211,-3.65,7.61,4.95,-0.06,0.03,-0.0,4
205,292,281,279,211,-3.65,7.65,4.91,-0.04,0.04,-0.0,4
205,291,281,278,211,-3.78,7.65,4.89,-0.03,0.04,-0.01,4
204,291,281,278,211,-3.67,7.67,4.73,-0.03,0.02,-0.02,4
204,290,281,278,211,-3.62,7.67,4.85,-0.04,0.03,-0.03,4
205,292,280,278,211,-3.87,7.64,4.82,-0.05,0.03,-0.02,4
205,292,281,279,211,-4.0,7.56,4.82,-0.03,-0.01,-0.02,4
204,291,281,278,211,-3.69,7.68,4.76,-0.04,0.01,-0.01,4
205,291,281,278,211,-3.62,7.71,4.76,-0.06,0.02,-0.01,4
204,291,281,278,211,-3.89,7.6,4.93,-0.06,0.01,-0.01,4
204,292,281,279,211,-3.69,7.62,4.86,-0.05,0.01,-0.03,4
204,292,281,279,211,-3.64,7.64,4.92,-0.05,0.04,-0.03,4
204,291,281,279,211,-3.69,7.66,4.95,-0.04,0.01,-0.02,4
204,291,281,278,211,-3.93,7.57,4.81,-0.03,0.04,-0.01,4
204,291,281,279,211,-3.56,7.75,4.76,-0.02,0.01,-0.01,4
205,292,281,279,211,-3.67,7.72,4.74,-0.05,0.04,-0.01,4
204,292,281,278,211,-3.75,7.71,4.77,-0.05,0.03,-0.02,4
204,291,281,279,211,-3.88,7.6,4.81,-0.06,0.03,-0.02,4
204,291,281,278,210,-3.62,7.71,4.85,-0.05,0.01,-0.02,4
205,291,281,278,211,-3.88,7.67,4.8,-0.05,0.04,0.0,4
204,292,281,279,211,-3.78,7.66,4.78,-0.04,0.01,0.0,4
