flex1,flex2,flex3,flex4,flex5,accx,accy,accz,gyrx,gyry,gyrz,label
220,292,282,280,222,-3.24,8.06,4.41,-0.05,0.04,0.0,5
220,292,282,281,222,-3.56,7.89,4.51,-0.09,0.08,0.01,5
220,292,282,281,222,-3.58,7.85,4.62,-0.09,0.06,0.0,5
220,292,282,281,221,-3.2,7.98,4.58,-0.08,-0.0,-0.01,5
220,292,282,281,221,-3.54,7.89,4.8,-0.05,0.07,0.01,5
220,292,282,281,222,-3.54,7.77,4.45,-0.12,0.06,0.01,5
220,292,282,281,221,-3.34,7.91,4.63,-0.04,0.07,0.01,5
220,292,282,281,222,-3.17,7.99,4.73,-0.05,0.07,-0.0,5
220,292,282,281,221,-3.25,7.96,4.73,-0.06,0.1,-0.01,5
220,293,282,281,221,-3.38,7.83,4.92,-0.03,0.21,0.01,5
220,292,282,282,221,-3.37,7.96,4.78,0.01,0.23,-0.0,5
220,292,282,281,221,-3.53,7.94,4.54,-0.03,0.24,-0.0,5
220,292,282,280,221,-3.93,7.86,4.27,0.04,0.19,0.02,5
220,291,282,280,221,-3.68,7.94,4.22,-0.0,0.19,0.07,5
220,292,282,281,222,-3.39,8.07,4.2,-0.01,0.08,0.07,5
220,292,282,281,222,-3.78,7.96,4.3,0.02,0.11,0.08,5
220,292,282,281,221,-3.51,8.07,4.25,0.02,0.03,0.06,5
220,292,282,281,221,-3.15,8.2,4.24,-0.02,0.01,0.06,5
220,291,282,280,221,-3.37,8.16,4.33,-0.03,-0.01,0.01,5
220,293,282,281,222,-3.43,8.07,4.23,-0.05,-0.02,-0.02,5
220,293,282,281,222,-3.25,8.15,4.26,-0.03,-0.03,-0.03,5
220,292,282,281,222,-3.41,8.07,4.4,-0.05,-0.02,-0.04,5
220,292,282,280,221,-3.56,7.98,4.43,-0.06,-0.03,-0.04,5
220,292,282,281,221,-3.49,7.99,4.49,0.0,0.0,-0.04,5
220,293,282,281,222,-3.27,8.19,4.29,-0.02,-0.03,-0.02,5
220,292,282,281,221,-3.66,7.97,4.24,-0.06,0.05,-0.02,5
220,292,282,280,222,-3.55,8.04,4.33,-0.02,-0.02,-0.02,5
220,292,282,280,221,-3.35,8.11,4.31,-0.06,0.02,-0.03,5
220,292,282,280,222,-3.55,8.05,4.38,-0.04,-0.0,-0.02,5
220,292,282,281,222,-3.45,7.98,4.29,-0.05,0.0,-0.01,5
220,293,282,281,222,-3.4,8.03,4.42,-0.02,0.02,-0.01,5
220,292,282,281,222,-3.24,8.23,4.33,-0.03,-0.02,-0.02,5
220,291,282,280,222,-3.72,7.99,4.19,-0.06,0.04,-0.02,5
220,292,282,281,222,-3.36,8.1,4.37,-0.05,-0.01,-0.03,5
220,292,282,281,222,-3.52,8.07,4.43,-0.05,0.01,-0.03,5
220,292,282,281,222,-3.54,8.06,4.33,-0.04,-0.03,-0.03,5
220,292,282,280,222,-3.61,7.96,4.31,-0.04,0.03,-0.01,5
220,292,282,281,222,-3.13,8.17,4.35,-0.02,-0.01,-0.01,5
220,292,282,281,222,-3.49,8.09,4.32,-0.05,0.03,-0.02,5
220,293,282,281,222,-3.45,8.02,4.38,-0.04,0.02,-0.02,5
220,292,282,281,222,-3.4,8.04,4.39,-0.03,0.04,-0.03,5
220,292,282,280,222,-3.37,8.13,4.31,-0.03,-0.0,-0.03,5
220,293,282,281,222,-3.71,8.02,4.15,-0.03,0.04,-0.01,5
220,293,282,281,222,-3.39,8.1,4.1,-0.04,0.03,-0.01,5
220,292,282,281,222,-3.26,8.19,4.16,-0.07,0.03,-0.01,5
220,293,282,281,222,-3.6,8.06,4.2,-0.08,0.03,-0.02,5
220,292,282,280,222,-3.45,8.02,4.32,-0.08,0.01,-0.01,5
220,292,282,281,222,-3.37,8.08,4.52,-0.05,0.04,-0.01,5
220,292,282,281,222,-3.49,8.11,4.31,-0.03,0.01,0.0,5
220,291,282,281,222,-3.67,7.98,4.27,-0.02,0.04,0.0,5
220,292,282,281,222,-3.27,8.18,4.29,-0.01,0.01,-0.01,5
220,292,282,280,222,-3.44,8.13,4.14,-0.08,0.03,-0.03,5
220,293,282,281,222,-3.66,7.99,4.29,-0.08,0.03,-0.03,5
220,292,282,281,222,-3.55,8.04,4.33,-0.08,0.02,-0.02,5
220,292,282,282,222,-3.33,8.03,4.24,-0.09,-0.03,-0.01,5
220,292,282,281,222,-3.47,8.09,4.4,-0.02,0.02,0.0,5
220,291,282,281,222,-3.67,8.01,4.45,-0.04,0.06,-0.0,5
220,293,282,281,222,-3.15,8.2,4.18,-0.06,-0.0,-0.02,5
220,293,282,281,222,-3.62,8.09,4.28,-0.04,0.05,-0.02,5
220,292,282,281,222,-3.59,8.07,4.18,-0.05,-0.01,-0.03,5
220,291,282,281,222,-3.52,8.01,4.25,-0.07,0.05,-0.02,5
220,292,282,281,222,-3.36,8.14,4.3,-0.05,0.02,-0.01,5
220,292,282,281,222,-3.64,8.05,4.25,-0.04,0.02,-0.01,5
220,292,282,281,222,-3.49,8.11,4.22,-0.03,0.02,-0.01,5
220,291,282,280,222,-3.31,8.15,4.21,-0.06,0.05,-0.02,5
220,292,282,281,222,-3.49,8.12,4.3,-0.04,-0.01,-0.03,5
220,292,282,281,222,-3.7,7.98,4.32,-0.06,0.04,-0.02,5
220,293,282,281,222,-3.32,8.06,4.32,-0.05,0.0,-0.01,5
220,292,282,281,222,-3.3,8.14,4.36,-0.03,0.02,-0.0,5
220,291,282,281,222,-3.64,8.07,4.21,-0.05,0.04,-0.01,5
220,292,282,280,222,-3.28,8.16,4.24,-0.02,0.01,-0.02,5
220,292,282,281,222,-3.54,7.99,4.14,-0.07,0.1,-0.02,5
220,292,282,281,222,-3.54,8.1,4.3,0.0,0.01,-0.01,5
220,292,282,281,222,-3.78,7.95,4.31,-0.02,0.11,-0.0,5
220,292,282,280,222,-3.29,8.23,4.1,-0.04,-0.01,-0.02,5
220,292,282,280,222,-3.44,8.16,4.09,-0.06,0.01,-0.01,5
220,293,282,281,222,-3.74,8.04,4.19,-0.05,-0.02,-0.04,5
220,292,282,281,222,-3.34,8.1,4.26,-0.0,-0.13,-0.05,5
220,293,282,281,222,-3.05,8.3,4.44,0.03,-0.1,-0.03,5
220,292,282,280,222,-3.77,7.96,4.16,-0.1,0.07,-0.01,5
220,291,282,281,222,-3.46,8.08,4.24,-0.03,-0.01,-0.01,5
220,293,282,281,222,-3.3,8.15,4.16,-0.06,0.03,-0.02,5
220,293,282,281,222,-3.56,8.1,4.17,-0.06,0.01,-0.01,5
220,292,282,281,222,-3.71,8.06,4.34,-0.04,0.03,-0.01,5
220,291,282,280,222,-3.37,8.08,4.18,-0.1,0.02,-0.02,5
220,292,282,281,222,-3.37,8.16,4.3,-0.03,0.02,-0.02,5
220,292,282,281,222,-3.7,8.04,4.2,-0.08,0.05,-0.01,5
220,292,282,281,222,-3.62,8.01,4.1,-0.07,0.02,0.0,5
220,292,282,280,222,-3.26,8.18,4.4,-0.03,0.03,-0.0,5
220,292,282,281,221,-3.54,8.11,4.18,-0.07,0.02,-0.02,5
