flex1,flex2,flex3,flex4,flex5,accx,accy,accz,gyrx,gyry,gyrz,label
216,304,284,283,213,-1.97,9.32,2.05,-0.07,-0.02,0.01,8
216,304,283,283,213,-1.91,9.29,2.1,-0.07,0.02,-0.01,8
216,305,283,284,213,-1.85,9.37,2.11,-0.04,-0.01,-0.01,8
216,305,283,284,213,-1.62,9.37,1.91,-0.04,-0.03,-0.01,8
216,305,283,283,213,-1.9,9.4,1.98,-0.02,-0.01,0.01,8
216,304,283,283,213,-1.73,9.32,1.91,-0.05,-0.05,-0.01,8
216,305,283,283,213,-2.02,9.3,1.96,-0.04,-0.0,-0.04,8
216,305,283,284,213,-1.84,9.42,2.03,-0.05,-0.08,-0.03,8
216,305,283,283,213,-1.77,9.37,2.11,-0.06,0.0,-0.03,8
216,304,283,283,213,-1.71,9.37,2.14,-0.05,0.04,-0.02,8
216,304,283,283,213,-1.8,9.37,1.94,-0.01,0.01,-0.02,8
216,305,283,283,213,-2.04,9.74,1.89,-0.01,0.03,-0.0,8
216,305,283,283,213,-1.85,9.13,1.86,-0.02,0.06,-0.01,8
216,306,283,283,213,-1.81,9.59,1.73,-0.01,0.04,-0.0,8
216,304,283,282,213,-1.57,9.47,1.73,-0.05,-0.01,-0.02,8
216,304,283,283,213,-1.81,9.32,1.91,-0.09,0.08,-0.05,8
216,305,283,283,213,-2.13,9.33,2.02,-0.06,0.0,-0.03,8
216,305,283,284,213,-2.03,9.28,2.1,-0.07,-0.01,-0.01,8
216,305,283,283,214,-2.02,9.32,2.12,-0.05,0.04,-0.03,8
216,303,283,282,213,-1.77,9.37,2.03,-0.03,0.04,0.0,8
216,305,283,283,213,-1.56,9.48,1.81,-0.0,-0.01,-0.0,8
216,305,283,283,213,-1.56,9.44,1.73,-0.03,-0.01,0.01,8
216,305,283,283,213,-1.94,9.41,1.86,-0.03,0.05,-0.03,8
216,304,283,283,213,-1.91,9.25,1.74,-0.06,-0.02,-0.02,8
216,304,283,282,213,-1.87,9.35,1.87,-0.06,0.01,-0.04,8
216,305,283,283,213,-1.79,9.38,1.96,-0.07,0.03,-0.02,8
216,305,283,283,213,-1.69,9.41,1.92,-0.07,0.02,-0.02,8
216,305,283,283,213,-1.89,9.39,1.97,-0.07,0.04,-0.0,8
216,305,283,283,213,-1.84,9.33,1.85,-0.04,-0.01,0.01,8
216,304,283,283,213,-2.07,9.28,1.86,-0.06,0.06,-0.01,8
216,305,283,284,213,-1.77,9.34,1.75,-0.07,-0.01,0.01,8
216,306,283,284,213,-1.74,9.28,1.81,-0.09,0.02,-0.0,8
