flex1,flex2,flex3,flex4,flex5,accx,accy,accz,gyrx,gyry,gyrz,label
216,295,300,302,225,-4.78,-0.38,8.68,-0.05,-0.0,-0.02,10
216,295,301,302,225,-4.53,-0.4,8.74,-0.07,0.02,-0.01,10
216,294,300,302,225,-4.79,-0.4,8.82,-0.05,0.02,-0.01,10
216,294,301,301,225,-4.87,-0.41,8.87,-0.05,-0.01,-0.01,10
216,294,300,300,225,-4.66,-0.43,8.81,-0.05,0.04,0.0,10
216,295,300,302,225,-4.65,-0.32,8.81,-0.04,0.05,0.01,10
216,294,300,302,225,-4.8,-0.43,8.82,-0.06,-0.03,-0.02,10
216,294,301,302,224,-4.5,-0.4,8.77,-0.03,0.02,0.0,10
216,294,300,301,225,-4.59,-0.3,8.82,-0.0,0.06,0.02,10
216,294,300,302,225,-4.77,-0.27,8.65,-0.04,-0.0,-0.01,10
216,295,300,302,225,-4.7,-0.48,8.71,-0.03,0.01,-0.0,10
216,295,300,302,225,-4.6,-0.15,8.77,0.04,0.06,0.03,10
216,294,300,301,225,-4.79,-0.32,8.65,-0.06,0.01,-0.0,10
216,294,301,301,225,-4.84,-0.37,8.7,-0.05,0.0,-0.01,10
216,295,300,301,225,-4.48,-0.23,8.73,-0.03,-0.01,-0.01,10
216,295,300,302,224,-4.69,-0.29,8.73,-0.07,0.02,0.0,10
216,295,300,301,225,-4.67,-0.27,8.72,-0.06,-0.0,-0.01,10
216,294,300,302,225,-4.45,-0.2,8.71,-0.04,0.04,-0.01,10
216,294,300,301,224,-4.57,-0.2,8.73,-0.06,0.01,-0.03,10
216,294,300,303,225,-4.79,-0.44,8.78,-0.09,-0.01,-0.03,10
216,294,300,302,224,-4.61,-0.35,8.77,-0.04,0.03,-0.01,10
216,295,300,301,224,-4.71,-0.31,8.81,-0.06,0.01,-0.01,10
216,294,300,301,224,-4.82,-0.35,8.92,-0.05,0.01,-0.0,10
216,294,300,301,224,-4.75,-0.33,8.8,-0.04,0.02,-0.0,10
216,294,300,302,225,-4.52,-0.21,8.81,-0.04,0.0,-0.01,10
216,294,300,302,225,-4.8,-0.32,8.73,-0.05,0.02,-0.0,10
216,294,301,302,225,-4.65,-0.3,8.72,-0.04,0.02,-0.0,10
216,294,300,301,224,-4.34,-0.21,8.7,-0.04,0.01,0.0,10
216,294,300,302,224,-4.66,-0.29,8.74,-0.06,0.04,-0.01,10
216,295,300,302,224,-4.75,-0.34,8.78,-0.06,-0.01,-0.03,10
216,295,301,303,224,-4.51,-0.23,8.76,-0.05,0.04,0.0,10
216,294,300,301,224,-4.81,-0.29,8.75,-0.06,0.01,-0.03,10
216,294,300,301,224,-4.83,-0.37,8.75,-0.06,-0.03,-0.02,10
216,294,301,303,224,-4.52,-0.3,8.75,-0.04,0.04,0.0,10
216,295,301,302,225,-4.6,-0.28,8.79,-0.06,0.03,0.0,10
216,295,300,302,225,-4.76,-0.3,8.7,-0.05,-0.03,-0.02,10
216,295,300,302,224,-4.48,-0.28,8.79,-0.05,0.04,-0.0,10
216,294,300,301,224,-4.54,-0.24,8.79,-0.06,0.04,-0.01,10
216,295,300,301,225,-4.77,-0.35,8.83,-0.05,-0.01,-0.01,10
216,295,301,302,225,-4.66,-0.36,8.78,-0.05,0.01,-0.01,10
216,295,300,302,224,-4.52,-0.3,8.77,-0.07,0.0,-0.01,10
216,294,301,301,224,-4.88,-0.39,8.84,-0.05,0.02,-0.0,10
216,294,301,302,225,-4.69,-0.29,8.8,-0.04,-0.0,-0.0,10
216,294,300,303,225,-4.46,-0.25,8.71,-0.05,0.01,-0.01,10
216,294,300,302,225,-4.59,-0.33,8.78,-0.06,-0.03,-0.01,10
216,295,300,301,224,-4.66,-0.28,8.73,-0.04,0.05,0.01,10
215,294,300,301,224,-4.55,-0.28,8.74,-0.06,-0.01,-0.01,10
216,294,300,301,224,-4.52,-0.24,8.78,-0.06,-0.01,-0.02,10
216,295,300,302,225,-4.82,-0.32,8.79,-0.06,0.01,-0.02,10
216,295,301,303,225,-4.5,-0.28,8.74,-0.07,0.02,-0.01,10
216,294,300,302,225,-4.7,-0.26,8.77,-0.05,0.01,-0.01,10
216,293,300,301,224,-4.8,-0.35,8.8,-0.07,-0.01,-0.02,10
216,294,301,302,224,-4.61,-0.33,8.8,-0.07,0.0,-0.01,10
216,294,300,302,224,-4.49,-0.25,8.84,-0.06,0.01,-0.0,10
216,295,300,303,224,-4.71,-0.34,8.79,-0.07,0.01,-0.0,10
216,294,300,301,224,-4.52,-0.27,8.72,-0.04,0.01,-0.01,10
216,294,300,301,224,-4.33,-0.21,8.77,-0.06,-0.01,-0.02,10
216,295,300,302,224,-4.63,-0.38,8.9,-0.07,0.03,-0.02,10
