flex1,flex2,flex3,flex4,flex5,accx,accy,accz,gyrx,gyry,gyrz,label
213,293,299,299,223,-9.63,-2.96,-0.32,-0.06,0.0,-0.06,11
213,293,299,298,222,-9.71,-2.87,-0.39,-0.04,0.08,-0.01,11
213,294,299,298,223,-9.68,-2.78,-0.4,-0.05,0.06,-0.04,11
213,294,299,299,222,-9.57,-2.75,-0.44,-0.04,0.05,-0.04,11
213,293,299,299,222,-9.61,-2.77,-0.45,-0.04,0.05,-0.03,11
213,293,299,298,222,-9.54,-2.78,-0.47,-0.06,0.01,-0.05,11
213,293,299,297,222,-9.39,-2.83,-0.4,-0.06,0.01,-0.02,11
213,293,299,299,222,-9.39,-2.86,-0.38,-0.06,0.01,-0.03,11
213,294,299,299,222,-9.43,-2.76,-0.38,-0.04,0.02,-0.05,11
213,294,299,299,223,-9.48,-2.72,-0.44,-0.04,0.04,-0.04,11
213,293,299,299,222,-9.7,-2.78,-0.44,-0.06,0.03,-0.03,11
213,293,299,297,222,-9.65,-2.8,-0.43,-0.06,-0.02,-0.06,11
213,294,299,299,222,-9.65,-2.89,-0.31,-0.06,-0.01,-0.04,11
213,294,299,300,222,-9.75,-2.88,-0.39,-0.04,0.05,-0.04,11
213,294,299,298,222,-9.81,-2.86,-0.41,-0.02,0.06,-0.05,11
213,293,299,299,222,-9.84,-2.85,-0.45,-0.02,0.05,-0.02,11
213,293,299,298,222,-9.76,-2.87,-0.43,-0.04,0.03,-0.02,11
213,294,300,299,223,-9.74,-2.91,-0.43,-0.07,0.02,-0.04,11
213,294,299,299,223,-9.7,-2.82,-0.46,-0.02,-0.0,-0.07,11
213,293,299,299,222,-9.62,-2.79,-0.51,-0.05,-0.03,-0.06,11
213,292,299,298,223,-9.5,-2.87,-0.34,-0.07,-0.05,-0.04,11
213,293,299,298,222,-9.35,-2.82,-0.35,-0.04,0.06,-0.06,11
213,294,299,299,222,-9.47,-2.8,-0.38,-0.05,0.02,-0.05,11
214,295,300,299,223,-9.51,-2.78,-0.44,-0.04,0.02,-0.03,11
213,294,299,299,222,-9.47,-2.76,-0.39,-0.04,0.01,-0.03,11
213,293,299,298,222,-9.4,-2.73,-0.37,-0.04,0.0,-0.03,11
213,293,299,299,222,-9.49,-2.83,-0.35,-0.06,0.01,-0.03,11
213,294,299,299,223,-9.51,-2.74,-0.38,-0.04,0.02,-0.06,11
213,293,299,299,222,-9.74,-2.82,-0.39,-0.05,0.05,-0.04,11
213,293,299,298,222,-9.71,-2.82,-0.41,-0.05,0.03,-0.04,11
213,293,299,298,222,-9.7,-2.89,-0.34,-0.06,0.02,-0.02,11
213,293,299,298,222,-9.65,-2.91,-0.34,-0.07,0.03,-0.06,11
213,293,299,299,222,-9.93,-2.94,-0.34,-0.04,0.09,-0.05,11
213,294,299,299,223,-9.97,-2.96,-0.43,-0.06,0.03,-0.04,11
213,294,299,299,223,-9.83,-2.91,-0.38,-0.05,0.01,-0.04,11
213,293,299,298,222,-9.65,-2.84,-0.4,-0.04,0.01,-0.03,11
213,293,299,298,222,-9.51,-2.78,-0.5,-0.03,0.01,-0.06,11
213,294,299,298,222,-9.57,-2.89,-0.46,-0.07,0.02,-0.04,11
213,294,299,299,222,-9.38,-2.83,-0.41,-0.06,-0.01,-0.05,11
213,293,299,299,222,-9.33,-2.82,-0.37,-0.04,0.01,-0.04,11
213,293,299,298,222,-9.39,-2.8,-0.42,-0.06,0.04,-0.05,11
213,293,299,298,222,-9.54,-2.86,-0.34,-0.04,0.04,-0.04,11
213,293,299,299,223,-9.45,-2.78,-0.36,-0.04,0.02,-0.04,11
213,294,299,299,223,-9.62,-2.85,-0.38,-0.04,0.01,-0.03,11
213,294,299,299,222,-9.49,-2.81,-0.39,-0.04,-0.01,-0.05,11
213,293,299,298,222,-9.54,-2.82,-0.35,-0.05,0.03,-0.05,11
213,293,299,298,222,-9.72,-2.89,-0.38,-0.05,0.05,-0.05,11
213,294,299,299,222,-9.7,-2.81,-0.45,-0.05,0.01,-0.06,11
213,294,299,300,222,-9.7,-2.87,-0.41,-0.05,0.0,-0.04,11
213,293,299,299,222,-9.65,-2.91,-0.38,-0.05,0.01,-0.03,11
213,293,299,297,222,-9.7,-2.93,-0.39,-0.05,0.06,-0.04,11
213,293,299,298,222,-9.86,-2.92,-0.44,-0.04,0.07,-0.04,11
213,294,299,299,223,-9.76,-2.97,-0.42,-0.08,0.02,-0.04,11
213,294,299,299,222,-9.63,-2.95,-0.43,-0.04,0.02,-0.03,11
213,294,299,299,222,-9.64,-2.97,-0.4,-0.05,0.01,-0.04,11
213,293,299,298,222,-9.55,-2.95,-0.42,-0.05,-0.01,-0.03,11
213,293,299,298,222,-9.42,-2.91,-0.37,-0.05,-0.02,-0.04,11
213,293,300,299,222,-9.34,-2.8,-0.38,-0.05,0.01,-0.03,11
213,294,299,299,223,-9.4,-2.81,-0.41,-0.04,0.03,-0.04,11
213,293,299,299,222,-9.41,-2.73,-0.4,-0.04,0.0,-0.06,11
213,293,299,298,222,-9.57,-2.85,-0.35,-0.06,0.01,-0.03,11
213,293,299,298,222,-9.45,-2.84,-0.4,-0.04,0.0,-0.05,11
213,294,299,299,223,-9.44,-2.82,-0.34,-0.04,0.02,-0.03,11
213,294,299,299,223,-9.59,-2.84,-0.33,-0.04,0.04,-0.03,11
213,294,299,299,222,-9.64,-2.84,-0.37,-0.05,0.02,-0.06,11
213,293,299,299,222,-9.7,-2.87,-0.36,-0.05,0.02,-0.03,11
213,293,299,298,222,-9.8,-2.98,-0.34,-0.05,0.02,-0.03,11
213,294,300,299,222,-9.64,-2.86,-0.4,-0.04,-0.01,-0.06,11
213,294,299,299,222,-9.67,-2.88,-0.36,-0.05,0.02,-0.04,11
