flex1,flex2,flex3,flex4,flex5,accx,accy,accz,gyrx,gyry,gyrz,label
209,313,299,306,226,-8.21,5.32,-1.42,-0.05,0.05,-0.04,13
209,312,299,305,226,-8.32,5.39,-1.37,-0.04,0.05,-0.04,13
209,311,299,305,226,-8.18,5.39,-1.42,-0.05,0.03,-0.03,13
209,312,299,305,226,-8.07,5.47,-1.34,-0.06,0.02,-0.04,13
209,312,299,305,226,-8.05,5.53,-1.37,-0.05,0.0,-0.03,13
209,312,299,305,226,-8.05,5.48,-1.41,-0.05,0.01,-0.02,13
209,312,299,304,226,-8.17,5.49,-1.38,-0.05,0.01,-0.02,13
209,311,299,304,226,-8.21,5.41,-1.43,-0.05,0.02,-0.03,13
209,312,299,305,225,-8.29,5.41,-1.49,-0.05,0.03,-0.03,13
209,313,299,305,225,-8.42,5.34,-1.43,-0.06,0.03,-0.02,13
209,312,299,306,226,-8.34,5.39,-1.3,-0.06,0.02,-0.02,13
209,312,299,304,225,-8.25,5.4,-1.33,-0.06,0.01,-0.03,13
209,312,299,305,226,-8.17,5.4,-1.4,-0.04,0.04,-0.04,13
209,312,298,306,226,-8.11,5.37,-1.42,-0.05,0.01,-0.03,13
209,313,299,307,226,-8.11,5.46,-1.34,-0.05,0.01,-0.04,13
209,313,298,305,226,-8.01,5.51,-1.32,-0.05,0.02,-0.04,13
209,312,299,305,226,-8.03,5.53,-1.35,-0.04,0.03,-0.03,13
209,311,298,304,225,-8.1,5.38,-1.47,-0.04,0.03,-0.04,13
209,312,298,305,226,-8.21,5.43,-1.47,-0.04,0.04,-0.04,13
209,312,298,306,226,-8.34,5.45,-1.38,-0.05,0.02,-0.03,13
209,312,299,305,226,-8.43,5.42,-1.34,-0.06,0.0,-0.04,13
209,311,298,305,225,-8.42,5.37,-1.33,-0.05,0.01,-0.03,13
209,312,298,304,226,-8.3,5.4,-1.42,-0.05,0.02,-0.03,13
209,313,299,305,226,-8.21,5.41,-1.43,-0.04,0.03,-0.03,13
209,312,298,306,226,-8.18,5.38,-1.43,-0.06,0.02,-0.04,13
209,312,299,305,226,-8.15,5.42,-1.37,-0.06,0.01,-0.03,13
209,312,299,304,226,-8.06,5.48,-1.36,-0.05,0.02,-0.03,13
209,312,298,304,226,-8.07,5.42,-1.32,-0.06,0.02,-0.03,13
209,313,299,305,226,-8.14,5.49,-1.34,-0.04,0.0,-0.02,13
209,312,299,306,226,-8.25,5.44,-1.41,-0.04,-0.0,-0.01,13
208,311,299,306,225,-8.23,5.48,-1.41,-0.03,0.01,-0.0,13
209,312,299,304,226,-8.24,5.4,-1.35,-0.04,0.02,-0.02,13
209,312,298,305,226,-8.25,5.44,-1.35,-0.04,0.01,-0.02,13
209,313,299,305,226,-8.36,5.34,-1.39,-0.05,0.01,-0.03,13
209,313,299,305,226,-8.32,5.38,-1.34,-0.05,0.02,-0.03,13
209,312,299,305,226,-8.24,5.35,-1.38,-0.05,0.02,-0.03,13
209,312,298,305,226,-8.11,5.5,-1.36,-0.05,0.02,-0.03,13
209,312,299,305,226,-8.05,5.51,-1.34,-0.04,0.03,-0.03,13
209,312,299,306,226,-8.03,5.52,-1.44,-0.04,0.03,-0.04,13
209,312,299,306,226,-8.08,5.48,-1.49,-0.06,0.01,-0.04,13
209,312,299,305,226,-8.09,5.5,-1.39,-0.05,-0.0,-0.02,13
209,310,298,304,226,-8.06,5.47,-1.34,-0.06,0.02,-0.02,13
209,312,298,305,225,-8.06,5.46,-1.34,-0.05,0.02,-0.02,13
209,314,299,306,226,-8.22,5.41,-1.32,-0.03,0.05,-0.03,13
209,312,299,305,226,-8.41,5.41,-1.4,-0.04,0.04,-0.04,13
209,312,299,305,226,-8.51,5.41,-1.36,-0.05,0.04,-0.04,13
209,311,299,305,226,-8.36,5.39,-1.38,-0.05,0.01,-0.03,13
209,312,299,305,226,-8.27,5.45,-1.43,-0.05,0.02,-0.03,13
209,313,299,305,226,-8.13,5.44,-1.4,-0.05,-0.0,-0.03,13
209,313,299,306,225,-7.97,5.45,-1.37,-0.07,-0.0,-0.04,13
208,312,299,304,226,-7.97,5.44,-1.31,-0.06,0.01,-0.04,13
209,311,299,304,226,-8.01,5.51,-1.29,-0.05,0.02,-0.04,13
209,312,299,304,226,-8.0,5.47,-1.36,-0.04,0.01,-0.03,13
209,312,299,306,226,-8.14,5.49,-1.37,-0.05,0.03,-0.03,13
209,312,298,305,226,-8.11,5.5,-1.45,-0.05,0.01,-0.02,13
209,311,299,304,226,-8.3,5.55,-1.34,-0.04,0.07,-0.04,13
209,311,298,304,225,-8.32,5.42,-1.36,-0.05,0.0,-0.03,13
209,312,299,305,226,-8.4,5.45,-1.38,-0.04,0.03,-0.03,13
209,312,299,305,226,-8.27,5.39,-1.36,-0.06,0.02,-0.03,13
209,312,299,305,226,-8.24,5.48,-1.28,-0.05,0.03,-0.03,13
209,311,298,304,226,-8.1,5.37,-1.37,-0.06,0.01,-0.04,13
209,311,298,304,226,-8.03,5.51,-1.37,-0.04,0.04,-0.03,13
209,312,299,305,226,-8.06,5.53,-1.34,-0.04,0.04,-0.04,13
209,312,299,305,226,-8.06,5.53,-1.41,-0.04,0.01,-0.03,13
209,311,298,305,226,-8.12,5.48,-1.43,-0.04,0.02,-0.03,13
209,311,299,305,226,-8.14,5.53,-1.38,-0.06,0.01,-0.02,13
209,312,299,305,226,-8.2,5.43,-1.29,-0.04,0.02,-0.03,13
209,312,299,305,225,-8.14,5.47,-1.39,-0.04,0.02,-0.03,13
209,312,299,306,226,-8.32,5.37,-1.39,-0.04,0.03,-0.04,13
209,312,299,304,225,-8.38,5.36,-1.39,-0.04,0.02,-0.04,13
209,311,298,304,225,-8.36,5.4,-1.32,-0.04,0.03,-0.04,13
209,312,298,304,225,-8.21,5.46,-1.38,-0.04,0.03,-0.03,13
209,313,298,305,225,-8.12,5.52,-1.41,-0.03,0.03,-0.02,13
209,312,299,306,226,-8.01,5.52,-1.49,-0.04,0.02,-0.04,13
209,312,298,305,226,-7.96,5.49,-1.48,-0.05,0.03,-0.04,13
209,312,299,304,226,-8.0,5.56,-1.44,-0.06,0.02,-0.04,13
209,312,299,305,226,-8.08,5.53,-1.32,-0.06,0.01,-0.03,13
209,313,299,305,226,-8.15,5.46,-1.32,-0.06,0.04,-0.03,13
209,313,298,306,226,-8.11,5.48,-1.37,-0.03,0.03,-0.02,13
209,313,298,305,226,-8.2,5.5,-1.42,-0.03,0.04,-0.03,13
209,312,299,304,226,-8.38,5.38,-1.46,-0.05,0.02,-0.04,13
209,312,299,305,226,-8.48,5.41,-1.36,-0.06,0.02,-0.04,13
209,313,299,305,226,-8.35,5.43,-1.34,-0.05,0.01,-0.02,13
209,312,299,305,226,-8.2,5.45,-1.35,-0.05,0.01,-0.02,13
209,311,299,304,226,-8.18,5.51,-1.36,-0.04,0.02,-0.02,13
209,311,298,305,226,-8.04,5.47,-1.36,-0.05,0.01,-0.02,13
209,313,299,304,226,-7.92,5.57,-1.46,-0.04,0.01,-0.02,13
209,313,298,306,226,-7.93,5.5,-1.42,-0.06,0.02,-0.02,13
209,312,299,305,226,-8.02,5.49,-1.31,-0.06,0.0,-0.02,13
209,312,298,305,226,-8.0,5.51,-1.32,-0.05,-0.0,-0.03,13
209,312,298,305,226,-8.11,5.46,-1.43,-0.05,0.03,-0.04,13
209,313,298,305,225,-8.21,5.46,-1.38,-0.04,0.02,-0.03,13
209,313,298,306,226,-8.3,5.39,-1.43,-0.05,0.04,-0.04,13
209,313,298,305,226,-8.3,5.38,-1.39,-0.05,0.02,-0.04,13
209,313,299,304,225,-8.3,5.48,-1.4,-0.05,0.03,-0.05,13
209,312,299,305,226,-8.3,5.46,-1.32,-0.05,0.04,-0.04,13
209,313,298,305,226,-8.11,5.5,-1.4,-0.05,0.02,-0.03,13
209,312,299,305,226,-8.18,5.55,-1.4,-0.05,0.04,-0.04,13
209,312,298,306,226,-8.11,5.5,-1.44,-0.05,0.01,-0.03,13
209,311,298,305,225,-8.03,5.58,-1.36,-0.05,0.0,-0.03,13
209,312,299,305,226,-8.07,5.51,-1.34,-0.05,0.02,-0.03,13
209,312,299,306,226,-8.09,5.46,-1.34,-0.07,-0.01,-0.03,13
209,312,299,306,226,-8.17,5.46,-1.31,-0.05,0.01,-0.03,13
209,313,298,305,225,-8.14,5.47,-1.33,-0.06,0.01,-0.04,13
209,311,298,304,225,-8.26,5.4,-1.42,-0.06,0.02,-0.05,13
209,312,298,305,226,-8.37,5.29,-1.38,-0.08,0.02,-0.05,13
209,312,299,306,226,-8.39,5.45,-1.26,-0.04,0.04,-0.03,13
209,312,299,305,226,-8.16,5.4,-1.34,-0.04,0.02,-0.03,13
209,312,299,305,226,-8.18,5.53,-1.34,-0.02,0.02,-0.02,13
209,311,298,304,226,-8.15,5.53,-1.31,-0.05,0.03,-0.03,13
209,312,298,304,226,-7.96,5.54,-1.4,-0.03,0.02,-0.03,13
209,312,298,306,226,-8.01,5.57,-1.4,-0.04,0.03,-0.03,13
209,313,299,305,226,-7.97,5.47,-1.4,-0.05,-0.0,-0.03,13
209,311,298,304,226,-8.08,5.52,-1.25,-0.04,0.01,-0.02,13
209,312,299,303,225,-8.01,5.48,-1.28,-0.06,0.02,-0.04,13
209,312,299,305,226,-8.24,5.52,-1.25,-0.02,0.05,-0.04,13
209,313,299,305,226,-8.43,5.46,-1.33,-0.04,0.04,-0.04,13
209,312,298,305,226,-8.5,5.41,-1.41,-0.05,0.04,-0.03,13
209,311,298,305,225,-8.38,5.37,-1.46,-0.06,0.02,-0.03,13
209,311,298,304,225,-8.29,5.48,-1.36,-0.05,0.02,-0.02,13
209,312,298,305,225,-8.16,5.47,-1.31,-0.06,-0.01,-0.03,13
209,313,298,305,226,-8.01,5.49,-1.28,-0.05,-0.01,-0.03,13
209,312,299,305,226,-8.03,5.44,-1.34,-0.06,0.01,-0.04,13
209,312,299,304,226,-7.98,5.49,-1.33,-0.04,0.01,-0.03,13
209,311,298,304,226,-8.02,5.6,-1.34,-0.03,0.03,-0.01,13
209,312,298,306,226,-7.99,5.57,-1.38,-0.04,0.01,-0.01,13
209,312,298,306,226,-8.03,5.43,-1.38,-0.05,0.03,-0.01,13
209,312,298,304,226,-8.24,5.56,-1.36,-0.04,0.02,-0.03,13
209,311,299,305,225,-8.19,5.52,-1.44,-0.05,-0.02,-0.03,13
209,312,298,304,225,-8.39,5.42,-1.38,-0.04,0.04,-0.03,13
209,311,298,304,226,-8.35,5.37,-1.37,-0.07,-0.0,-0.02,13
209,312,298,306,226,-8.11,5.44,-1.22,-0.06,0.02,-0.03,13
209,312,299,305,226,-8.08,5.46,-1.31,-0.04,0.01,-0.04,13
209,311,298,305,226,-8.12,5.5,-1.33,-0.04,0.04,-0.05,13
209,312,298,304,225,-8.19,5.49,-1.32,-0.04,0.04,-0.04,13
209,312,298,305,226,-8.07,5.58,-1.39,-0.04,0.01,-0.03,13
209,313,298,306,225,-7.96,5.58,-1.38,-0.05,0.01,-0.02,13
