flex1,flex2,flex3,flex4,flex5,accx,accy,accz,gyrx,gyry,gyrz,label
207,294,282,280,212,-5.07,-0.12,8.59,-0.08,0.02,-0.03,15
207,294,282,280,212,-4.99,-0.11,8.58,-0.07,-0.01,-0.03,15
207,293,282,280,212,-5.05,-0.19,8.58,-0.05,-0.05,-0.03,15
207,294,282,280,212,-5.03,-0.19,8.53,-0.06,-0.02,-0.02,15
207,295,282,281,212,-4.87,-0.13,8.52,-0.06,-0.03,-0.03,15
207,295,282,280,212,-4.76,-0.07,8.52,-0.04,-0.02,-0.0,15
207,294,282,280,212,-5.13,-0.16,8.44,-0.06,0.0,-0.01,15
206,293,282,280,212,-4.94,-0.17,8.59,-0.05,-0.0,0.0,15
207,294,282,280,212,-4.81,-0.13,8.58,-0.06,0.03,-0.0,15
207,294,282,281,212,-4.83,-0.11,8.62,-0.06,0.02,-0.01,15
207,295,282,281,212,-5.04,-0.22,8.59,-0.05,-0.0,-0.01,15
207,294,282,280,212,-4.88,-0.13,8.62,-0.05,0.01,-0.01,15
207,293,282,280,212,-4.75,-0.04,8.56,-0.05,0.01,-0.02,15
207,295,282,280,212,-4.81,-0.05,8.6,-0.05,0.01,-0.01,15
207,294,282,281,212,-5.0,-0.12,8.58,-0.04,-0.02,-0.01,15
207,295,282,280,212,-4.72,-0.13,8.52,-0.04,-0.02,-0.01,15
207,294,282,280,212,-4.66,-0.04,8.62,-0.06,-0.01,-0.01,15
207,294,282,280,212,-4.91,-0.09,8.63,-0.06,0.01,-0.01,15
207,294,282,281,212,-5.06,-0.13,8.59,-0.06,0.03,0.0,15
207,294,282,280,212,-4.91,-0.11,8.55,-0.06,0.01,-0.01,15
207,294,282,280,212,-4.62,-0.09,8.57,-0.06,0.02,-0.02,15
207,293,282,280,212,-5.14,-0.2,8.69,-0.07,0.04,-0.02,15
207,294,282,281,212,-4.94,-0.24,8.64,-0.05,0.01,-0.01,15
207,295,282,281,212,-4.88,-0.17,8.57,-0.04,0.02,-0.01,15
207,295,282,281,212,-4.71,-0.06,8.58,-0.04,-0.0,-0.01,15
207,294,282,281,212,-5.04,-0.09,8.61,-0.06,0.0,-0.01,15
207,293,282,280,212,-4.98,-0.15,8.63,-0.06,0.02,-0.0,15
207,293,282,280,212,-4.74,-0.11,8.6,-0.05,0.02,-0.0,15
207,294,282,281,212,-4.71,-0.09,8.6,-0.04,0.02,0.0,15
207,294,282,281,212,-5.01,-0.18,8.65,-0.06,0.01,-0.01,15
207,293,282,280,212,-4.87,-0.13,8.59,-0.05,0.02,0.0,15
207,294,282,280,212,-4.63,-0.06,8.56,-0.05,-0.0,-0.01,15
207,294,282,280,212,-4.66,-0.07,8.62,-0.05,0.01,-0.01,15
207,294,282,281,212,-5.01,-0.15,8.6,-0.05,0.01,-0.01,15
207,294,282,281,212,-4.82,-0.11,8.64,-0.05,0.01,-0.0,15
207,293,282,280,212,-4.74,-0.02,8.61,-0.05,0.01,-0.02,15
207,293,282,280,212,-4.8,-0.05,8.65,-0.05,0.01,-0.01,15
207,294,282,281,212,-4.91,-0.11,8.6,-0.05,0.01,-0.0,15
207,295,282,281,212,-4.84,-0.13,8.59,-0.06,0.02,-0.01,15
207,294,282,281,212,-4.7,-0.08,8.63,-0.06,0.0,-0.02,15
207,293,282,280,212,-4.8,-0.1,8.59,-0.06,0.02,-0.0,15
207,293,282,280,212,-5.0,-0.19,8.63,-0.05,0.02,-0.02,15
207,294,282,281,212,-4.79,-0.13,8.62,-0.05,0.01,-0.02,15
207,295,282,280,212,-4.74,-0.12,8.65,-0.05,0.02,-0.01,15
207,294,282,280,212,-4.97,-0.14,8.63,-0.05,0.01,-0.01,15
207,293,282,280,212,-5.04,-0.12,8.63,-0.04,0.0,-0.01,15
207,294,282,280,212,-4.74,-0.08,8.61,-0.04,-0.0,-0.01,15
207,295,282,280,212,-4.67,-0.04,8.66,-0.05,-0.01,-0.02,15
207,294,282,281,212,-5.01,-0.2,8.66,-0.04,0.01,-0.01,15
207,295,282,280,212,-4.79,-0.16,8.62,-0.04,-0.01,-0.02,15
207,294,282,280,212,-4.72,-0.03,8.58,-0.05,0.0,-0.01,15
207,295,282,280,212,-4.8,-0.01,8.66,-0.05,-0.0,-0.02,15
207,295,282,281,212,-4.92,-0.1,8.67,-0.05,-0.01,-0.03,15
207,295,282,281,212,-4.82,-0.12,8.66,-0.05,-0.01,-0.02,15
207,294,282,280,212,-4.58,-0.02,8.62,-0.04,-0.03,-0.02,15
