,0
0,12.361331
1,12.995246
2,17.432646
3,25.990492
4,26.30745
5,25.990492
6,31.69572
7,32.488113
8,32.329636
9,32.171158
10,31.537243
11,31.220285
12,29.952456
13,29.318542
14,29.318542
15,30.269413
16,32.01268
17,33.12203
18,33.438984
19,33.755943
20,34.23138
21,34.38986
22,34.706814
23,34.548336
24,34.86529
25,35.18225
26,35.34073
27,35.657684
28,35.657684
29,35.816166
30,36.45008
31,37.717907
32,40.09509
33,43.423138
34,45.800316
35,47.86054
36,48.65293
37,48.96989
38,49.762283
39,50.713154
40,51.664024
41,52.6149
42,53.724247
43,54.199684
44,54.675117
45,55.309032
46,55.62599
47,55.942947
48,56.418385
49,56.576862
