,0
0,0.0
1,0.0
2,0.0
3,0.0
4,1.7432647
5,4.437401
6,4.437401
7,4.9128366
8,5.546751
9,6.1806655
10,6.497623
11,7.92393
12,9.191759
13,9.667195
14,9.667195
15,9.667195
16,9.667195
17,9.667195
18,9.667195
19,9.667195
20,9.667195
21,9.667195
22,9.667195
23,9.667195
24,9.667195
25,9.667195
26,9.667195
27,9.667195
28,9.984152
29,10.301109
30,10.459588
31,10.618067
32,10.618067
33,11.4104595
34,14.73851
35,18.06656
36,19.968304
37,22.820919
38,25.673534
39,28.843105
40,29.952456
41,30.427893
42,30.58637
43,29.318542
44,28.843105
45,30.427893
46,28.52615
47,27.575277
48,22.503962
49,21.236134
50,20.760696
51,20.285261
52,19.651346
53,19.33439
54,19.33439
55,19.33439
56,18.541996
57,14.104596
58,14.104596
59,14.104596
60,14.104596
61,13.946117
62,14.104596
63,15.84786
64,19.33439
65,20.44374
66,21.870047
67,22.820919
68,24.564184
69,24.881142
70,25.03962
71,25.832012
72,27.25832
73,37.55943
74,48.81141
75,48.96989
76,54.199684
77,54.358162
78,71.63233
79,84.310616
80,84.310616
81,88.27258
82,77.49604
83,88.43106
84,79.39778
85,84.310616
86,85.73692
87,82.56735
88,89.69889
89,86.37084
90,80.98257
91,83.20127
92,91.60063
93,87.63867
94,78.12995
95,85.10301
96,81.61648
97,86.37084
98,87.79715
99,85.8954
100,93.50238
101,85.41997
102,95.5626
103,99.84152
104,93.18542
105,94.29477
106,90.174324
107,89.22346
108,90.3328
109,94.611725
110,99.683044
111,93.819336
112,99.84152
113,94.13629
114,90.96672
115,94.13629
116,95.087166
117,97.781296
118,91.283676
119,96.19651
